id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1016831,5 mins Shibuya Cat modern sunny  Shimokita,5596383,Wakana,世田谷区,35.658,139.67134,一般住宅個室,23286,10,268,2024-06-26,1.96,2,129,24,M130001107
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,世田谷区,35.60742,139.67616,一般住宅個室,8800,3,194,2024-06-13,1.45,1,237,12,M130000057
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari,世田谷区,35.65897,139.60988,一般住宅個室,,2,51,2024-06-29,0.39,2,2,6,M130000196
1600758,Enjoy a unique house in a green residential area!,8529477,Mari,世田谷区,35.65933,139.60847,一般住宅個室,,2,21,2023-06-23,0.29,2,0,0,M130000196
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,世田谷区,35.63858,139.64624,建物全体,36000,2,130,2024-06-03,1.04,1,353,12,M130000611
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,世田谷区,35.62942,139.63077,一般住宅個室,16086,1,94,2024-05-21,0.79,1,281,8,M130001108
5673677,羽根木の森の部屋,15282125,Kanako,世田谷区,35.66432,139.65839,一般住宅個室,16000,7,72,2023-12-10,0.67,2,156,8,M130008796
6439108,Daisuke's Luxury Shimokita Apt #2,10705201,Daisuke,世田谷区,35.66106,139.66859,建物全体,11429,2,260,2024-06-05,2.36,3,312,31,Hotels and Inns Business Act | 東京都世田谷保健所 | 30世保生環き第339号
6646878,near shibuya quiet residential area,34561184,Toshiro & Tanya,世田谷区,35.65191,139.66968,一般住宅個室,10123,1,101,2024-03-20,0.92,7,280,7,M130000233
7484849,"10min to Shibuya,Shinjuku Cosy room",39201606,Yamagata,世田谷区,35.66510009765625,139.6403350830078,一般住宅個室,22857,1,69,2024-05-28,0.64,1,274,2,M130001003
7940139,designer house near Shimokitazawa,24957450,Alexander,世田谷区,35.66913,139.65991,建物全体,41134,1,33,2023-11-06,0.33,1,174,2,M130006578
8416408,Near SHIBUYA Quiet Residential Area,34561184,Toshiro & Tanya,世田谷区,35.65192,139.66968,一般住宅個室,12266,1,81,2024-06-25,0.76,7,363,16,M130000233
8447162,Special Price☆Enjoy the huge house☆SHIMOKITA TOKYO,14382431,Kyoko,世田谷区,35.66326,139.66277,建物全体,52429,3,185,2024-05-06,1.75,1,258,24,M130009249
9639867,Shibuya South II JP style room,29341016,Wabi Sabi,世田谷区,35.64744,139.67332,建物全体,10000,3,217,2024-05-31,2.10,12,97,32,Hotels and Inns Business Act | 東京都世田谷区保健所 | 30世保生環き第２７７号
10086317,Mishuku near Shibuya Spacious 1200 sq.ft 2Br 8 pax,51756095,Chihoko,世田谷区,35.64847418704053,139.67798763590955,建物全体,64024,3,31,2024-06-19,0.30,1,31,16,M130036181
10257616,"Ideal for Shibuya, Shinjuku",8359471,Tomo,世田谷区,35.66343,139.64764,一般住宅個室,,1,103,2019-11-24,1.01,1,0,0,M130000094
10536367,Enjoy the local life/quiet environment to stay in☆,54332252,Taketo & Taeko,世田谷区,35.63224,139.65199,建物全体,20000,2,173,2024-05-27,1.70,1,96,13,M130002000
10583516,Shibuya.3min tram Max 3/Free wifi /Sangenjaya Sta.,54600515,Airin,世田谷区,35.64133967193497,139.6642380952835,建物全体,13286,3,280,2024-06-09,2.75,3,68,32,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 5世保生環第977号
11367281,cozy room /2 min from station,59117489,Noriko,世田谷区,35.637924416950646,139.58710498650817,一般住宅個室,8000,1,26,2024-06-24,2.23,1,21,26,M130033004
12078617,Welcome to DOG&CAT lover/Welcome to SOLO Traveler☺,49971425,Rui,世田谷区,35.64249,139.64031,一般住宅個室,16071,2,46,2024-05-26,0.46,2,43,6,M130000167
12103556,9 min to Shibuya 5BR 152sqm 2 car (P) Free Bikes,64889149,Chieko,世田谷区,35.63476,139.64482,建物全体,64184,5,44,2024-04-03,0.44,1,343,3,M130003053
12235749,"15 min to Shibuya!! YOU CAN NOT MISS IT, AWESOME!!",55729426,Misono,世田谷区,35.60723,139.6537,建物全体,12929,3,156,2024-06-02,1.61,1,55,17,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 30世保生環き第179号
12368269,"Access good for Shibuya , Shinjuku!",66680305,邦明,世田谷区,35.66192,139.67257,建物全体,8651,2,188,2024-06-16,1.89,2,39,33,Hotels and Inns Business Act | 東京都世田谷区世田谷保健所 | ３１世保生環き第２３６号
13007848,Daisuke's Luxury Shimokita Apt #3,10705201,Daisuke,世田谷区,35.66286,139.66722,建物全体,14429,2,258,2024-06-13,2.62,3,344,39,Hotels and Inns Business Act | 東京都世田谷保健所 | 30世保生環き第339号
13121455,3min to Shibuya /Sangen-jaya Sta /Free wifi/Max 3,54600515,Airin,世田谷区,35.64124731042117,139.66421093791723,一般住宅個室,12643,3,310,2024-06-27,3.18,3,75,42,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 5世保生環第978号
13340942,Shibuya 10mins free Wifi Sakurashinmachi  2-A,75565461,"Seiji ,Yoko",世田谷区,35.63511,139.63962,建物全体,8200,4,104,2024-06-17,1.09,3,142,13,M130007683
13419487,Ikejiri Amino Residence 1 is close to Shibuya .,61184736,Motohiro,世田谷区,35.64763,139.68276,建物全体,8555,5,92,2024-06-22,0.96,3,47,30,Hotels and Inns Business Act | 世田谷保健所所長　辻　佳織 | ３１世保生環き第225号
13930687,Shinjuku 5mins/FREE Wifi/4mins walk from Sasazuka,81631101,K,世田谷区,35.671349,139.667679,建物全体,,3,259,2024-06-25,2.68,1,3,30,M130000168
14875568,Luxury New House/6 min to Shibuya,24354062,Fumi,世田谷区,35.63352,139.66437,建物全体,51429,3,205,2024-06-08,2.18,1,58,17,M130000234
15196452,"Shinjuku, Shibuya 15min!! To the station 4 min!",96389666,Zhang,世田谷区,35.67195,139.60576,一般住宅個室,6800,1,136,2024-05-31,1.45,1,354,22,M130002004
15344955,Licensed Shibuya 3min/Good Location/Japanese room,82639045,Jenny,世田谷区,35.64787,139.68289,建物全体,18000,3,109,2024-06-24,1.22,1,135,14,M130001113
15651769,3mins to Shibuya /Sangen-jaya Sta/Free wifi/Max 5,54600515,Airin,世田谷区,35.641381090180964,139.66419652104378,建物全体,18214,3,266,2024-06-18,2.85,3,53,40,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 31世保生環き第105号
16193467,SHIBUYA9min/For5/Family friendly/rich in nature,49971425,Rui,世田谷区,35.63223,139.6538,建物全体,20571,2,110,2024-06-10,1.21,2,209,9,M130002001
16279531,Modern 3-Bedroom 80m2 Apartment near Shibuya!,35135366,Suyeon,世田谷区,35.64632658551469,139.67345282435417,建物全体,60000,3,157,2024-06-14,1.72,1,38,26,M130001002
17098749,Shinjuku12min/Shibuya15min/Max10ppi/Free-Wifi,76447191,Yuri,世田谷区,35.67184,139.59808,建物全体,17301,2,161,2024-06-24,1.82,1,223,23,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 31世保生環き第86号
17160217,Sancha Place 207/ Shibuya 5min by train Sangenjaya,35051740,Rintaro,世田谷区,35.64656,139.67575,建物全体,47143,1,135,2024-05-21,1.51,1,145,26,M130027019
17867820,はるのや/Japanese Old Traditional Style House_HARUNOYA,15282125,Kanako,世田谷区,35.66655,139.65904,建物全体,35000,2,68,2024-06-21,0.77,2,69,11,M130029992
19376336,82#2min walk 下北sta. Good access渋谷新宿.Wifi.,16894613,Mieca,世田谷区,35.66385,139.6692,建物全体,14589,3,131,2024-05-20,1.55,6,282,13,M130012643
20018501,Over 90㎡ 4 separated bedrooms guesthouse in Tokyo.,142143989,野田,世田谷区,35.63919,139.63887,建物全体,25000,4,16,2024-05-24,0.20,1,157,5,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 30世保生環き第189号
20829427,下北沢駅から徒歩5min.perfect location!/Free Wi-Fi,149419889,Kumi,世田谷区,35.658424,139.664413,一般住宅個室,15000,3,15,2024-05-31,0.19,3,223,3,M130002893
21068866,世田谷、豪徳寺近い、上町駅徒歩2分、渋谷駅 三軒茶屋駅バス13分、世田谷ボロ市開催地、41平米,103487168,ﾙｰﾙ,世田谷区,35.6428,139.6461,建物全体,12848,1,79,2023-10-16,1.05,4,90,5,M130002100
21347005,Stylish designers house in safe Tokyo. 緑薫るデザイナーハウス,130564429,Minori,世田谷区,35.66005,139.64516,一般住宅個室,12000,2,70,2024-06-15,0.92,1,29,8,M130000337
21348052,Shimokita Stay #3 / Shimokitazawa Perfect location,154517762,麻里子,世田谷区,35.66272,139.66597,建物全体,14950,1,455,2024-06-23,5.60,7,117,43,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 31世保生環き第58号
22876502,2min.from Shimokitazawa St. Classic but cozy,21479739,K,世田谷区,35.66164,139.66846,建物全体,14714,3,109,2024-06-24,1.43,1,67,23,M130013741
22913672,Perfect and Cozy Place/快適なroom. Shimokitazawa,149419889,Kumi,世田谷区,35.658424,139.664413,一般住宅個室,8800,3,13,2024-02-29,0.24,3,268,10,M130002893
