id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
3657357,2 Tiny Apartments - 1 Listing Central Tokyo Nakano,4847803,Best Stay In Tokyo!,中野区,35.70861,139.68637,建物全体,25738,2,50,2018-03-18,0.42,6,255,0,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第92号
4141228,#211 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),中野区,35.73417,139.63328,建物全体,11951,3,87,2024-01-15,0.78,10,91,4,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
4616579,Furnished Private Apt.213,17736560,タツロウ (Taturo),中野区,35.73414,139.63305,建物全体,11951,3,88,2024-06-14,0.77,10,91,9,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5070495,Private Cozy Apt. 111 in Tokyo,17736560,タツロウ (Taturo),中野区,35.73496,139.63132,建物全体,11951,3,88,2024-04-08,0.77,10,91,7,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5217466,#411 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),中野区,35.73404,139.63128,建物全体,11951,3,110,2024-04-15,0.97,10,91,10,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5262640,Private Cozy Apt in Tokyo 413,17736560,タツロウ (Taturo),中野区,35.73445,139.63139,建物全体,12065,3,65,2024-04-22,0.58,10,82,5,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5641920,#312 Furnished Private Apt.,17736560,タツロウ (Taturo),中野区,35.7348,139.63141,建物全体,12755,3,35,2024-04-15,0.31,10,74,8,Hotels and Inns Business Act | 中野区保健所 |  30中環生環第52号
8619851,静かな住宅街の中の広い一軒家103m2,26761196,Yoko&Yasuhiro,中野区,35.71702,139.64708,建物全体,37571,5,94,2024-06-18,0.97,1,79,18,M130000155
9206226,Dormitory for women,46900709,Grapehouse Koenji,中野区,35.71019,139.64929,共有部屋,4114,2,151,2024-06-18,1.48,4,60,33,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
9442462,Private Room for women,46900709,Grapehouse Koenji,中野区,35.7102,139.64928,一般住宅個室,9857,1,28,2024-03-28,0.31,4,73,7,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
9619095,OffiialSuperHost/Shinjuku2stop&4min/pocketWiFi/1F,31486638,Shin,中野区,35.70675,139.68051,建物全体,,10,146,2024-02-09,1.42,1,0,6,M130005222
10366183,"Dormitory  for women, Muscat",46900709,Grapehouse Koenji,中野区,35.71029,139.64928,共有部屋,4800,2,211,2024-06-28,2.08,4,55,33,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
11640593,25 private cozy room in Tokyo,60002368,Ryo,中野区,35.73282,139.67266,一般住宅個室,14133,3,37,2024-03-31,0.37,4,58,7,M130001823
12071858,West Shinjuku apt/wifi/elevator/luggage storage,64686470,Cassandra & Mikoto,中野区,35.68727,139.67519,建物全体,10000,1,244,2024-05-12,2.44,3,117,21,M130000549
12972960,HOMESTAY TYPE TATAMI & FUTON EXPERIENCE in Tokyo,69345233,Masumi,中野区,35.71821,139.633,一般住宅個室,12857,3,74,2024-05-24,0.81,1,160,14,M130000817
13226761,"Grapehouse,only for women: ８ min to Shinjuku",46900709,Grapehouse Koenji,中野区,35.71019,139.64929,共有部屋,4500,1,158,2024-06-25,1.63,4,310,37,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
14797464,calm room-D  3min from Shinjuku by Subway,24026566,Kazu,中野区,35.69123,139.67944,一般住宅個室,4700,1,122,2024-04-14,1.29,1,64,1,M130001011
14877581,4 min to Shinjuku: Twin Room in Tokyo 101,1174369,Naoki,中野区,35.70097,139.66412,建物全体,14234,3,237,2024-06-02,2.51,2,301,24,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15166946,4 minutes to Shinjuku: New Tokyo Apartment 102,41013044,Aileen,中野区,35.7004,139.66381,建物全体,15400,3,254,2024-06-06,2.77,25,156,50,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15196934,4 minutes to Shinjuku: New Tokyo Apartment 201,41013044,Aileen,中野区,35.70057,139.66442,建物全体,15640,3,215,2024-05-12,2.29,25,278,25,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15209544,4 minutes to Shinjuku: New Tokyo Apartment 202,41013044,Aileen,中野区,35.70187,139.6662,建物全体,15640,3,202,2024-05-14,2.15,25,268,26,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15698593,Mika House in Shinjuku,82006876,Mika,中野区,35.70936,139.68646,建物全体,8786,1,118,2024-06-04,1.29,1,141,14,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第207号
16258250,House with Hammok 3BR  Easy access Shinjuku  HNK,29253527,Momo,中野区,35.68288040161133,139.66322326660156,建物全体,27429,3,103,2024-06-11,1.13,8,105,28,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第244号
16409316,4 minutes to Shinjuku: New Tokyo Apartment 203,41013044,Aileen,中野区,35.70048,139.66396,建物全体,22343,3,276,2024-06-22,3.03,25,260,48,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
16425779,Cozy Shinjuku Urban Flat 201. 2mins walk to st.,62389310,Yuwei,中野区,35.69132,139.68285,建物全体,14840,2,71,2024-05-27,0.79,7,257,13,Hotels and Inns Business Act | 東京都渋谷区 | 30渋保生環旅第9号
16954388,[2A] PET OK!  Entire 1BedRoom  (410sq ft) APT,100098226,Tomoko Cathy,中野区,35.68784,139.66299,建物全体,10293,2,142,2024-06-15,1.59,3,328,21,Hotels and Inns Business Act | 東京都杉並区杉並保健所 | 30杉保衛環第279号
17304792,新宿迄電車4分　駅徒歩5分　ブロードウェイ徒歩1分　広々45平米の1LDK お一人様〜ファミリー迄,71738094,Yuka,中野区,35.71011,139.66478,建物全体,20100,3,229,2024-06-20,2.59,2,44,63,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第54号
17320863,TINY Central Apartment 7 Minutes from Shinjuku 1F,4847803,Best Stay In Tokyo!,中野区,35.70832,139.6882,建物全体,12226,2,94,2024-06-14,1.23,6,270,37,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第92号
19166798,【2024年6月受入再開】新宿まで7分/広めのベランダ、夜景が人気。ビジネスにオススメ!【長期割引】,114932477,晃史,中野区,35.6945,139.68314,建物全体,10514,28,36,2024-04-14,0.42,1,52,10,M130023188
19247321,"Shinjuku Urban Flat 101, 2mins walk to station",62389310,Yuwei,中野区,35.6914,139.68277,建物全体,11731,2,51,2024-06-08,0.60,7,321,10,Hotels and Inns Business Act | 東京都渋谷区 | 30渋保生環旅第8号
19368458,3LDK with night view/12 people/5 mins  from Sta.,52075941,Hikari,中野区,35.68965,139.66792,建物全体,55143,3,148,2024-06-06,1.75,11,290,29,Hotels and Inns Business Act | 中野区保健所 | 31中健衛環第218号
19466493,Cozy studio/West Shinjuku/wifi/storage/Elevator,64686470,Cassandra & Mikoto,中野区,35.68822,139.67507,建物全体,12000,1,153,2024-06-16,1.80,3,71,21,M130000551
19518081,HABI,137078469,登志,中野区,35.70644,139.6846,建物全体,,2,35,2019-12-03,0.43,1,0,0,M130002254
20020282,Near Shinjuku Area/6mins to subway/Wi-Fi/ R601,52075941,Hikari,中野区,35.68751,139.66794,建物全体,17000,2,67,2024-06-18,0.80,11,303,10,Hotels and Inns Business Act | 中野区保健所 | 31中健衛環第218号
