id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
776070,Kero-kero house room 1,801494,Kei,北区,35.73844,139.76917,一般住宅個室,9652,3,256,2024-06-03,1.81,1,173,13,M130000243
3744742,"(3) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,建物全体,8929,3,233,2024-06-10,1.97,9,285,13,M130004689
4360718,"(2) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,建物全体,10600,1,222,2024-06-06,1.90,9,362,15,M130004688
4495014,"(6) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,建物全体,11200,3,224,2024-04-28,1.94,9,288,18,M130033311
4888140,"(1) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,建物全体,10600,3,225,2024-05-05,1.98,9,257,15,M130004685
5932309,"Japanese cosy vintage house, easy access in Tokyo",30745996,Chie,北区,35.74408,139.72525,建物全体,9786,2,270,2024-06-28,2.42,1,77,37,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第9号
6164909,Room203 Ikebukuro is 5 min by train,24219962,Hiroya,北区,35.75788,139.72151,一般住宅個室,,5,80,2024-06-10,0.72,4,3,10,M130001128
6214018,Room202 Ikebukuro is 5 min by train,24219962,Hiroya,北区,35.75786,139.72151,一般住宅個室,3286,4,87,2024-06-19,0.79,4,41,8,M130001128
6505073,(4)高速Wifi完備・新宿へ電車11分・JR十条駅徒歩8分（JR埼京線で池袋5分・渋谷19分),19152993,Sei,北区,35.76108,139.71599,建物全体,13440,3,245,2024-06-05,2.24,9,314,17,M130033310
6613961,Room205 Ikebukuro is 5 min by train,24219962,Hiroya,北区,35.75787,139.72153,一般住宅個室,3443,3,53,2024-05-27,0.48,4,41,9,M130001128
6859825,Room103 Ikebukuro is 5 min by train,24219962,Hiroya,北区,35.75788,139.72153,一般住宅個室,3071,4,53,2024-05-27,0.48,4,53,7,M130001128
10636671,6m from Yamanote-L/Easy access to Tokyo/Free-WIFI,21586310,Masaki & Haruko,北区,35.73745,139.75788,建物全体,17212,3,145,2024-06-13,1.44,1,253,19,M130000449
12656625,"(7) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,建物全体,11536,3,192,2024-06-08,1.94,9,314,15,M130006694
12767276,The Japanese style room experience available,65322398,Katsuomi,北区,35.75948,139.743,一般住宅個室,4981,2,90,2024-05-07,0.99,1,57,10,M130006401
13483552,③best location!small room in JUJO shopping street,37983776,Allen&,北区,35.76200353732324,139.7206531465105,一般住宅個室,6514,2,41,2024-05-08,0.43,4,15,7,M130000511
13488027,②Best location!cozy place in JUJO shopping street,37983776,Allen&,北区,35.76223123465153,139.7205022889356,一般住宅個室,8143,3,25,2024-04-02,0.28,4,48,5,M130000511
15218638,Japanese house in central Tokyo 3min JR station日风,96703868,Yuki,北区,35.73653,139.75917,建物全体,,1,99,2020-02-06,1.05,1,0,0,M130000381
15561356,"Direct to Ikebukuro(6mins),Shinjuku(11 mins)",99873634,Kuniji,北区,35.76088,139.71821,一般住宅個室,23157,1,147,2024-06-16,1.58,1,166,25,M130010894
15777074,15 minutes from Tokyo Sta／3BDRM！,51779608,Taka & Tomo,北区,35.74708,139.74783,建物全体,,2,141,2024-06-24,1.54,3,1,13,M130001868
16344764,"JR Yamanote Komagome, 3 storey 101sq 4BR, FreePark",63598456,優姫,北区,35.73579,139.75393,建物全体,31400,1,198,2024-06-23,2.17,18,95,33,M130006282
19821905,Modern Designers Apt. Real Local Life in Tokyo #2,138469445,Yutaka,北区,35.73485,139.75457,建物全体,19407,1,218,2024-06-19,2.71,5,125,38,Hotels and Inns Business Act | 東京都北区保健所 | 29北健生環き第13号
19833823,Modern Designers Apt. Real Local Life in Tokyo #4,138469445,Yutaka,北区,35.73623,139.75304,建物全体,16896,1,162,2024-06-16,2.03,5,95,28,Hotels and Inns Business Act | 東京都北区保健所 | 29北健生環き第13号
19834092,Modern Designers Apt. Real Local Life in Tokyo #5,138469445,Yutaka,北区,35.73541,139.75235,建物全体,16421,1,259,2024-06-14,3.14,5,107,48,Hotels and Inns Business Act | 東京都北区保健所 | 29北健生環き第13号
20487787,Modern Designers Apt. Real Local Life in Tokyo #1,138469445,Yutaka,北区,35.73677,139.75614,建物全体,17833,1,221,2024-06-22,2.70,5,120,32,Hotels and Inns Business Act | 東京都北区保健所 | 29北健生環き第13号
20642378,"(8) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,建物全体,13571,3,120,2024-05-21,1.48,9,314,18,M130006695
20972673,2.5 km to Ikebukuro Sta. bit house with garden,150896127,Sacchi,北区,35.74737,139.73406,建物全体,52000,2,64,2024-04-13,0.81,3,170,6,M130004939
21016077,Oji station 10 min!Small Double Bed/Max2/Wifi/#102,151336818,Yuka,北区,35.74782,139.73263,建物全体,11943,1,65,2024-06-25,0.80,4,173,9,M130003757
