id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
2883497,東京下町生活,6969809,Kota,台東区,35.72208,139.78049,建物全体,23371,1,305,2024-06-15,2.50,1,288,30,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第79号
3364169,Asakusa friendly family type apt,16973429,Hirano San,台東区,35.7223,139.80049,建物全体,13000,5,149,2024-06-25,1.24,2,235,18,M130000147
4050925,Airport transfer service&Asakusa traditional house,21004633,Yoshi,台東区,35.71431,139.79885,建物全体,40000,2,603,2024-06-23,5.08,6,92,75,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第122号
4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,台東区,35.72804,139.79048,建物全体,17000,3,330,2024-06-16,2.90,2,153,51,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第219号
4925745,New House 100㎡ near metro happy!!!!,23595333,Keiko,台東区,35.72951,139.79137,建物全体,28700,2,378,2024-06-29,3.45,2,185,62,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第220号
5947917,浅草民泊旅館1F　※閑静な住宅街！Private！隅田川、奥浅草散策,30879374,Masayasu,台東区,35.720383726628555,139.80487268418074,一般住宅個室,14000,2,6,2024-06-21,0.63,3,57,6,Hotels and Inns Business Act | 東京都台東区台東保健所 | 5台台健生環き第10035号
6719865,Yanesen  Traditional Nagaya house,11025259,Takamitsu,台東区,35.72024,139.76607,建物全体,24130,3,150,2023-12-27,1.38,2,199,3,M130000440
6749824,羽田、成田から一時間の便利な立地です。,35340956,Yoshio,台東区,35.7242,139.77766,一般住宅個室,5514,2,154,2024-06-28,1.55,2,71,28,M130000164
6750472,4A. Asakusa Station 8min •Asakusa temple 5min,30828383,美香,台東区,35.7155,139.79083,建物全体,16429,2,230,2024-04-25,2.12,5,36,34,M130040126
6875368,One hour from the airport.Good access to all,35340956,Yoshio,台東区,35.72413,139.77771,一般住宅個室,6500,2,167,2024-06-29,1.54,2,20,23,M130000164
7358397,"Peaceful Riverside View, Asakusa",37545792,Harumi,台東区,35.70511,139.79276,建物全体,36000,2,210,2024-06-23,1.97,1,37,27,M130002579
8783754,New! near Sensoji Temple Free WiFi,43145433,武志,台東区,35.71806,139.79887,建物全体,10700,3,263,2024-06-28,2.62,2,74,39,M130000059
8995712,3 min from Sta. Ueno Park 10min walk! #201,46674978,Namio,台東区,35.71968,139.7652,建物全体,15000,1,374,2024-06-20,3.55,3,19,63,Hotels and Inns Business Act | 文京区文京保健所 | ２０１９文文生環き第５１０号
9454348,Traditional Wooden House and Bath!,48993128,Hiroyuki,台東区,35.72517,139.76402,建物全体,35740,1,162,2024-04-07,1.56,1,172,3,M130003279
9532214,【1/F】Asakusabashi Building | for 6-8 ppl,45326126,Hotel Asakusabashi,台東区,35.70046,139.7859,建物全体,29829,2,125,2024-06-29,1.25,4,82,31,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第179号
9738767,【2/F】Asakusabashi Building | for 6-8 ppl,45326126,Hotel Asakusabashi,台東区,35.70192,139.78364,建物全体,29829,2,119,2024-06-26,1.18,4,95,30,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第179号
9738892,【3/F】Asakusabashi Building | for 6-9 ppl,45326126,Hotel Asakusabashi,台東区,35.70146,139.78448,建物全体,29829,2,130,2024-06-16,1.28,4,41,25,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第179号
9739115,【4/F】Asakusabashi Building | for 4-6 ppl,45326126,Hotel Asakusabashi,台東区,35.70218,139.78399,建物全体,19743,2,76,2024-06-19,0.76,4,61,23,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第179号
9868151,",Ueno, Asakusa, 2min,6BED,4WC,2bath, 198sqm",50786427,Subin,台東区,35.7128,139.79121,建物全体,68000,2,228,2024-05-15,2.20,2,287,14,M130001631
10024434,Asakusa/Ueno/Skytree – Uhome Ueno Hotel 601,51472121,Haruka,台東区,35.7108,139.7872,一般住宅個室,,1,5,2024-04-08,0.32,4,251,1,Hotels and Inns Business Act | 東京都台東区台東保健所 | 2台台健生環き第10097号
10061086,【ดีจังเฮ้าส์】ห้องพักสไตล์ญี่ปุ่น คนไทยดูแล24ชม.  お寺の中のゲストハウス,50315845,Kanchan,台東区,35.72065,139.76933,一般住宅個室,29486,1,13,2024-04-05,0.17,3,40,4,M130000047
10063063,【ดีจังเฮ้าส์】ห้องพักสไตล์ญี่ปุ่น คนไทยดูแล24ชม.  お寺の中のゲストハウス,50315845,Kanchan,台東区,35.72071,139.76938,一般住宅個室,10286,1,67,2024-05-27,0.67,3,52,28,M130000047
10130437,Asakusa/Ueno Room with Private Bathroom (1F),51973423,Makito,台東区,35.71442204515578,139.7866331516473,一般住宅個室,13500,2,72,2024-05-09,0.72,1,311,13,M130007441
