id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1919541,Share House 'Miraie' @JR Osaki (Special discuont),9951050,Li Hsuan,品川区,35.61794,139.72313,一般住宅個室,9000,22,241,2024-05-27,1.86,3,172,7,M130001466
2129325,*Traditional Tea Room in large shared house 1F,9203725,Tokyo,品川区,35.60856717380348,139.73377635413345,一般住宅個室,15857,3,22,2024-05-27,0.18,9,170,14,M130032025
2129455,*Ryokan Tatami Rm with balcony in shared house 2F,9203725,Tokyo,品川区,35.60698,139.73474,一般住宅個室,,2,13,2024-05-18,0.10,9,88,7,M130032025
3389878,*Cozy Petit Single Rm w Balcony in Shared Mansion,9203725,Tokyo,品川区,35.60689,139.73412,一般住宅個室,8000,3,14,2024-06-16,0.12,9,62,9,M130032025
4026948,Near Shinagawa Shibuya Haneda,20878710,Daisuke,品川区,35.60033,139.73415,一般住宅個室,5900,3,142,2024-05-29,1.20,1,127,15,M130000543
4047596,Enjoy Central Tokyo Yamanote Life 2BR Condo,6504053,Bryan,品川区,35.62633,139.7235,建物全体,35000,7,244,2024-05-29,2.05,2,215,29,Hotels and Inns Business Act | 品川区保健所 | 5品保生環き第2号
6648293,"High speed internet ,8min walk from JR Osaki",5749679,Sayoko,品川区,35.61486,139.726,一般住宅個室,7900,2,334,2024-06-01,3.04,2,209,37,Hotels and Inns Business Act | 品川区保健所 | 30品保生環き第51号
6812578,"Female,Couple/Less 15min to Shibuya",26386727,Mami,品川区,35.62302,139.70141,一般住宅個室,10429,2,260,2024-06-17,2.41,1,10,32,M130000238
6939875,Near station! Free parking included! Pet friendly!,35828905,Kanako,品川区,35.60982,139.72068,建物全体,17886,1,176,2024-05-26,1.62,1,108,23,M130001112
7965448,Shinagawa area  2 min to station!  room#102,19532514,Josh F,品川区,35.59877,139.73915,建物全体,11122,5,45,2024-01-03,0.54,2,171,6,Hotels and Inns Business Act | 東京都品川区保健所 | 30品保生環き第77号
8274487,"High speed internet ,8min walk JR Osaki.max for 3",5749679,Sayoko,品川区,35.61533,139.72495,建物全体,9500,2,318,2024-06-16,2.98,2,170,38,Hotels and Inns Business Act | 品川区保健所 | 30品保生環き第５１号
8574820,Experience Japanese family life,27572392,Zack,品川区,35.62273,139.7132,一般住宅個室,,2,42,2019-11-18,0.42,1,0,0,M130014735
9739745,戸越公園駅、戸越駅まで歩く5分,42808108,Mie,品川区,35.61011,139.71602,建物全体,13500,2,134,2024-06-29,1.30,7,143,37,Hotels and Inns Business Act | 東京都品川区保健所 | 31品保生環き第74号
13363800,"4 minutes from Togoshi station,",42808108,Mie,品川区,35.61204,139.71604,建物全体,13500,2,116,2024-06-24,1.27,7,147,34,Hotels and Inns Business Act | 東京都品川区保健所 | 31品保生環き第74号
13945663,6 min on foot to JR Meguro sta. For female only.,52160702,Tomoe,品川区,35.63739,139.71457,一般住宅個室,6000,2,239,2024-06-21,2.57,1,12,18,M130000126
14016869,【Nishioi house】SHINAGAWA5min/SHIBUYA10min/MAX8,83681219,Yuka,品川区,35.60035,139.72431,建物全体,27054,1,228,2024-06-28,2.36,1,142,25,M130007609
14960310,Cozy room at Gotanda 6min / Shibuya 7min! freewifi,90866302,Shinichi,品川区,35.62521,139.7291,建物全体,27000,1,168,2024-06-02,1.77,1,147,17,M130008139
16815193,Private & Share Room,93082522,Naomi,品川区,35.61073,139.72619,一般住宅個室,8286,2,25,2024-05-29,0.28,1,356,4,M130002224
17218180,Shinagawa 2mnt New Apt Easy access to both Airport,34403925,Katsuo,品川区,35.62445,139.73949,建物全体,16600,1,236,2024-06-12,2.63,8,159,30,M130001100
18012234,Brand New Studio Apartment in Shinagawa,79940500,Nanako,品川区,35.6192,139.74499,建物全体,,2,67,2020-01-27,0.77,1,0,0,Hotels and Inns Business Act | 品川区保健所 | 30品保生環き第86号
20622002,Enjoy Tokyo with locals! Cozy apartment,147413392,しのぶ,品川区,35.60524,139.70168,建物全体,9700,1,125,2024-06-23,1.52,2,111,22,M130000795
20632023,蓮華荘 Rengeso,120805017,團樹,品川区,35.6179685163961,139.74090827095253,一般住宅個室,19000,2,39,2024-06-18,0.54,1,94,15,Hotels and Inns Business Act | 品川区保健所 | 29品保生環き第23号
23444119,Mix Dorm room / Near the Onsen / No Cleaning fee!,174891991,Satoshi,品川区,35.61976,139.71608,共有部屋,,1,31,2020-02-07,0.42,16,0,0,Hotels and Inns Business Act | 東京都品川区保健所 | 28品保生環き第38号
23670934,全日本最大商店街、戸越駅3分！綺麗な部屋マンション、超広い52㎡！無料WiFi,164066387,高倉,品川区,35.61749,139.71742,建物全体,19800,1,99,2023-10-29,1.30,6,144,6,M130000655
25413745,It  is four minutes form  Togoshi Station,42808108,Mie,品川区,35.61071,139.71784,建物全体,13500,2,58,2024-06-10,0.81,7,130,26,Hotels and Inns Business Act | 東京都品川区保健所 | 31品保生環き第74号
25814944,No Cleaning fee! 4 bed rooms near the Onsen!,174891991,Satoshi,品川区,35.61976,139.71608,ホテル個室,,1,0,,,16,0,0,Hotels and Inns Business Act | 東京都品川区保健所 | 28品保生環き第38号
25825681,Female Dorm / Near the Onsen / No Cleaning fee! #1,174891991,Satoshi,品川区,35.61976,139.71608,共有部屋,,1,9,2020-02-29,0.12,16,0,0,Hotels and Inns Business Act | 東京都品川区保健所 | 28品保生環き第38号
25826930,Female Dorm / Near the Onsen / No Cleaning fee!#1B,174891991,Satoshi,品川区,35.61976,139.71608,共有部屋,,1,42,2024-05-26,0.58,16,43,10,Hotels and Inns Business Act | 東京都品川区保健所 | 28品保生環き第38号
26505550,No Cleaning fee! 4 bed rooms near the Onsen!,174891991,Satoshi,品川区,35.61863,139.71506,一般住宅個室,,1,7,2021-11-02,0.10,16,0,0,Hotels and Inns Business Act | 東京都品川区保健所 | 28品保生環き第38号
26763404,NIYS apartments 03 type（32㎡）,70213380,Tomohiro,品川区,35.63262,139.71542,建物全体,28000,1,121,2024-06-18,1.69,4,224,39,M130003662
27735220,Female Dorm / Near the Onsen / No Cleaning fee!#1A,174891991,Satoshi,品川区,35.62028,139.71709,共有部屋,,1,15,2024-05-26,0.25,16,43,8,Hotels and Inns Business Act | 東京都品川区保健所 | 28品保生環き第38号
27735716,Mix Dorm / Near the Onsen / No Cleaning fee! #1A,174891991,Satoshi,品川区,35.619,139.71505,共有部屋,,1,51,2024-05-22,0.74,16,43,10,Hotels and Inns Business Act | 東京都品川区保健所 | 28品保生環き第38号
