id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1749157,Diplomat House/Mansion very close to JR Station,9203725,Tokyo,大田区,35.58958,139.72636,建物全体,77857,3,65,2024-05-24,0.50,9,33,6,M130032025
2080626,*Smal BdRm in Shared house with Queen bed. NO AC!,9203725,Tokyo,大田区,35.58862,139.72755,一般住宅個室,8000,3,60,2024-06-19,0.48,9,141,4,M130032025
5738050,Enjoy local life in Tokyo,29758027,Chieko,大田区,35.56976,139.69158,建物全体,5586,3,174,2024-06-25,1.54,1,51,10,Special Economic Zoning Act | 30健生発第10252号
9036683,2 min. to Asakusa line - Quiet area,47063863,Masa,大田区,35.59621,139.70935,建物全体,6144,3,175,2024-06-13,1.75,1,27,37,Special Economic Zoning Act | 30健生発第11480号
14210579,*Max16people* EnjoyGame&MangaGuesthouse.Dormitory,86175034,俊行 Toshiyuki,大田区,35.55425,139.73931,共有部屋,89143,1,70,2023-03-05,0.74,4,82,0,Hotels and Inns Business Act | 東京都大田区保健所 | 保生環第0508号
14523283,"7km from Haneda Airport,one bedroom(101)",89759853,Kuninaka,大田区,35.584209,139.726868,一般住宅個室,9000,1,254,2024-06-23,2.87,3,364,37,M130000260
14696739,A【11min to Airport!】Easy access to Central Tokyo!,60140616,Liang,大田区,35.57135,139.72803,建物全体,11857,2,166,2024-06-01,1.88,3,145,34,Special Economic Zoning Act | 28健生発第12191号
14860686,B【11min to Airport!】Easy access to Central Tokyo!,60140616,Liang,大田区,35.57124,139.72814,建物全体,12571,2,179,2024-06-19,2.05,3,153,38,Special Economic Zoning Act | 28健生発第12191号
15230074,NewEntire 3BR/Tokyo Haneda Airport 12m/FreeParking,63598456,優姫,大田区,35.55464,139.71649,建物全体,22800,1,242,2024-06-19,2.57,18,110,59,Special Economic Zoning Act | 29健生発第11151号
15568640,"Japanese craft master decoration home,Haneda 20min",100282493,Uchimura,大田区,35.57598,139.72403,建物全体,18857,2,167,2024-06-29,1.80,1,214,31,M130001354
16999213,AB【11min to Airport!】Easy access to Central Tokyo!,60140616,Liang,大田区,35.56988,139.72609,建物全体,45857,2,19,2024-03-29,0.22,3,144,7,Special Economic Zoning Act | 28健生発第12191号
17289107,301/Total137㎡/9BDR/25people/FreeParking/Haneda15m,63598456,優姫,大田区,35.54063,139.70774,建物全体,27800,1,162,2024-06-24,1.83,18,84,20,Special Economic Zoning Act | ５健生発第 11519 号
18147314,★New★Free WIFI★Renovated house★remote work＃AS680,125126103,川田,大田区,35.58192,139.70131,建物全体,5614,2,118,2024-06-10,1.36,1,109,21,Special Economic Zoning Act | 29健生発第10780号
18951293,"7km from Haneda Airport,one bedroom(201)",89759853,Kuninaka,大田区,35.584209,139.726868,一般住宅個室,9000,1,107,2024-05-19,1.25,3,363,20,M130000260
18951757,"7km from Haneda Airport,one bedroom(202)",89759853,Kuninaka,大田区,35.584209,139.726868,一般住宅個室,9000,1,73,2024-05-21,0.87,3,364,11,M130000260
19294856,JetBath/6min HND airport/5min Sta./2Toilet/Netflix,59551877,Harvey & Lei,大田区,35.56168,139.72787,建物全体,31286,3,200,2024-06-20,2.39,8,206,36,Hotels and Inns Business Act | 大田区保健所 | 保生環第366号
19462746,Close to the Airport! Huge room 45㎡! TM BLDG 202,112687297,Tokio,大田区,35.56167,139.72829,建物全体,8929,2,262,2024-06-23,3.08,1,60,34,Special Economic Zoning Act | 31健生発第12342号
20715349,Free WiFi/Close to HND&Shibuya&Shinagawa Sta.,148171410,Voga Corte Chidoricho,大田区,35.57231,139.688573,建物全体,14040,2,118,2024-06-09,1.55,4,289,34,Special Economic Zoning Act | 29健生発第10909号
20715441,Free WiFi/Close to HND&Shibuya&Shinagawa Sta.,148171410,Voga Corte Chidoricho,大田区,35.57231,139.688573,建物全体,14040,2,386,2024-06-15,5.26,4,293,181,Special Economic Zoning Act | 29健生発第10909号
20716315,Free WiFi/Close to HND&Shibuya&Shinagawa Sta.,148171410,Voga Corte Chidoricho,大田区,35.57231,139.688573,建物全体,14040,2,86,2024-04-20,1.07,4,275,21,Special Economic Zoning Act | 29健生発第10909号
20730272,[1BR] Free WiFi/Close to HND&Shibuya&Shinagawa Sta,148171410,Voga Corte Chidoricho,大田区,35.57231,139.688573,建物全体,26229,2,31,2023-12-24,0.48,4,111,3,Special Economic Zoning Act | 29健生発第10909号
22131190,#4Haneda airport 5minWalk from st. Wifi provided.,161665344,May,大田区,35.55858,139.72065,建物全体,15743,1,257,2024-06-27,3.24,6,196,61,Special Economic Zoning Act | 29健生発第11500号
22872208,6ppl 2Bed 1Sofa FreeWiFi Kitchen Shibuya Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.58419,139.72475,建物全体,22514,2,30,2024-04-19,0.40,14,47,3,Special Economic Zoning Act | 29健生発第11808号
22872629,[ARMY]Near by Shinagawa Haneda20min Ginza12min,169225525,The Aoca Tokyo Sanno,大田区,35.58331,139.72407,建物全体,12771,2,39,2023-01-07,0.52,14,32,0,Special Economic Zoning Act | 29健生発第11808号
22960315,[SCANDINAVIAN]FreeWiFi Kitchen Shibuya 20min,169225525,The Aoca Tokyo Sanno,大田区,35.58397,139.72578,建物全体,12771,2,28,2023-12-23,0.37,14,20,1,Special Economic Zoning Act | 29健生発第11808号
22960531,"55inch OLED TV, coffeemaker,",169225525,The Aoca Tokyo Sanno,大田区,35.58511,139.72381,建物全体,22514,2,47,2024-05-30,0.64,14,28,4,Special Economic Zoning Act | 29健生発第11808号
22960640,FreeWiFi Kitchen Shibuya Shinagawa [Line],169225525,The Aoca Tokyo Sanno,大田区,35.58524,139.72535,建物全体,25514,2,29,2022-03-20,0.38,14,37,0,Special Economic Zoning Act | 29健生発第11808号
22960853,[SKY HIGH] FreeWiFi Kitchen Shibuya 20min,169225525,The Aoca Tokyo Sanno,大田区,35.58478,139.72563,建物全体,12771,2,41,2024-02-07,0.57,14,45,4,Special Economic Zoning Act | 29健生発第11808号
22961123,3ppl 1Bed 1Sofa FreeWiFi Kitchen Shibuya Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.58481,139.72406,建物全体,12771,2,78,2024-06-27,1.04,14,43,7,Special Economic Zoning Act | 29健生発第11808号
