id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
2839061,"#1 Discover local life, culture & People/Work desk",4839990,Toshiyuki,文京区,35.72035,139.76445,一般住宅個室,11169,5,117,2024-06-25,1.07,2,48,23,M130016568
4842239,"Access into center  Tokyo,for economize travelers",24087904,Rinrin,文京区,35.72761,139.76383,建物全体,6000,1,194,2024-06-16,1.68,1,269,13,M130037058
5198467,Wonderful Japanese style OTOME! (*´ω｀),25911199,Tomoya,文京区,35.72129,139.76323,建物全体,45000,3,61,2024-06-27,0.54,1,329,13,M130017222
5231172,"#2 Workdesk/Discover local life, culture & People",4839990,Toshiyuki,文京区,35.72257,139.76271,一般住宅個室,,4,21,2024-03-16,0.19,2,0,5,M130016568
5815506,東京根津ステンドグラス美術館＆ゲストハウス（Since 2019),18289292,武男,文京区,35.71934,139.76508,一般住宅個室,6800,3,65,2024-06-26,1.05,1,201,23,M130006097
6636522,Private room#13minutes by train to Tokyo station,34735989,茂,文京区,35.71773,139.74374,一般住宅個室,4864,1,255,2024-06-24,2.42,13,22,36,Hotels and Inns Business Act | 文京区文京保健所 | 2019文文生環き第509号
11001652,"Yellow room, Otsuka, Ikebukuro, Tokyo. Privacy",57090069,Kiyo&Chie,文京区,35.72623,139.72706,一般住宅個室,,3,148,2024-03-28,1.47,2,0,16,M130020058
11827731,H05 Good Access&Enjoyable City Life,51966672,Yoshi,文京区,35.73048,139.76284,建物全体,17400,2,81,2024-05-27,0.81,4,5,3,M130012673
12257424,Private room#13minutes by train to Tokyo station,34735989,茂,文京区,35.71726,139.74387,一般住宅個室,,1,216,2024-05-27,2.21,13,0,53,Hotels and Inns Business Act | 文京区文京保健所 | 2019文文生環き第509号
14116184,3 min from Sta. Ueno Park 10min walk! #301,46674978,Namio,文京区,35.71971,139.76515,建物全体,,1,200,2020-02-25,2.07,3,0,0,Hotels and Inns Business Act | 文京区文京保健所 | ２０１９文文生環き第５１０号
14273827,Near Tokyo Univ./Dome #Friendly Host #Speedy WiFi,87040650,Ayaka,文京区,35.71335,139.76029,一般住宅個室,,2,111,2024-06-02,1.17,1,12,10,M130000442
14374651,Private room#13minutes by train to Tokyo station,34735989,茂,文京区,35.71715,139.74335,一般住宅個室,5229,1,189,2024-06-10,2.01,13,4,46,Hotels and Inns Business Act | 文京区文京保健所 | 2019文文生環き第509号
14795446,New Minka Guest House (Mt. FUJI),92410243,Kenichi,文京区,35.70585,139.75506,一般住宅個室,8571,1,203,2024-06-27,2.19,5,191,43,Hotels and Inns Business Act | 東京都文京区文京保健所 | 2019文文生環き第505号
14796277,New Minka Guest House (Kimono）,92410243,Kenichi,文京区,35.70425,139.75713,一般住宅個室,8571,1,206,2024-06-23,2.20,5,197,48,Hotels and Inns Business Act | 東京都文京区文京保健所 | 2019文文生環き第505号
15697290,New Minka Guest House(SAKURA）,92410243,Kenichi,文京区,35.70628,139.75567,一般住宅個室,8571,1,135,2024-06-24,1.45,5,256,21,Hotels and Inns Business Act | 東京都文京区文京保健所 | 2019文文生環き第505号
18419380,3 min from Sta. Ueno Park 10min walk! #202,46674978,Namio,文京区,35.71971,139.76515,ホテル個室,,1,124,2020-02-25,1.42,3,0,0,Hotels and Inns Business Act | 文京区文京保健所 | ２０１９文文生環き第５１０号
18675626,『Keisei Ueno Sta.8 mins & Yushima Sta. 1mins』,116324472,Nikki,文京区,35.70797,139.76865,建物全体,21714,1,264,2024-06-14,3.20,3,46,50,Hotels and Inns Business Act | 東京都台東区台東保健所 | 29台台健生環き第47号
19282354,"Tokyo Dome, Korakuen. Newly renovated. Downtown -2",44701299,Smile Home,文京区,35.72052,139.75161,一般住宅個室,4414,1,138,2024-06-14,1.64,7,55,45,Hotels and Inns Business Act | 文京区文京保健所 | 29文文生環き第501号
19822265,Modern Designers Apt. Real Local Life in Tokyo #3,138469445,Yutaka,文京区,35.73403,139.75244,建物全体,16666,1,259,2024-06-21,3.16,5,125,42,Hotels and Inns Business Act | 東京都北区保健所 | 29北健生環き第13号
20002966,"Tokyo Dome, Korakuen. Newly renovated. Downtown -6",44701299,Smile Home,文京区,35.72031,139.74954,一般住宅個室,4571,1,121,2024-06-03,1.44,7,56,27,Hotels and Inns Business Act | 文京区文京保健所 | 29文文生環き第501号
23777592,文京区都心の隠れ家ーリゾートルーム,45249822,大井,文京区,35.71282,139.7361,一般住宅個室,9571,2,89,2024-06-11,1.17,1,76,21,M130001375
27147247,EXsaison Sugamo 403,202883274,Konatsu,文京区,35.7313,139.73912,ホテル個室,11000,1,62,2024-04-11,0.87,6,126,10,Hotels and Inns Business Act | 東京都池袋保健所 | ３０豊池保衛環き第４０号
27405334,新宿2分3层别墅（中文可）,46122442,Yamato,文京区,35.71081,139.72611,建物全体,,2,3,2019-07-16,0.04,3,0,0,M130005427
30702795,[NEW] Clean&Comfortable Sta7min NearAkihabara Ueno,105015397,Li,文京区,35.70284,139.76557,建物全体,,1,53,2020-01-23,0.80,1,0,0,M130011932
31545761,10mins walk from station on the jr yamanote line!,236443900,Ayako,文京区,35.73334,139.75616,建物全体,,2,71,2024-06-05,1.07,2,275,8,M130029925
33147810,4min Sta.!/Easy access to Tokyo/FREE Wi-Fi/5ppl#2,248779005,Mitsuko,文京区,35.72956,139.76332,建物全体,23029,2,33,2024-06-25,0.58,2,49,14,M130013595
34661647,New Minka Guest House(HINOMARU),92410243,Kenichi,文京区,35.70453,139.75655,一般住宅個室,8571,1,41,2024-06-28,0.68,5,181,17,Hotels and Inns Business Act | 東京都文京保健所 | 2019文文生環き第505号
34726763,Uhome Tabata 301 Spacious APT 4mn by train to Ueno,73463626,Feng,文京区,35.73178,139.75688,建物全体,8543,1,47,2024-05-24,0.76,42,89,2,M130016474
34726981,"Uhome Tabata Apartment 202, 4mn by train to Ueno",73463626,Feng,文京区,35.73148,139.75643,建物全体,4600,1,54,2020-03-29,0.87,42,42,0,M130016473
34794707,6 min Sta. Very near Akihabara!!Good location/11,39314421,Masahiro,文京区,35.70552,139.76608,建物全体,10354,2,178,2024-06-28,2.89,19,326,46,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795237,6 min Sta. Very near Akihabara!!Good location/21,39314421,Masahiro,文京区,35.70409,139.76636,建物全体,8513,2,160,2024-06-02,2.61,19,281,42,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795413,6 min Sta. Very near Akihabara!!Good location/22,39314421,Masahiro,文京区,35.70609,139.76771,建物全体,8500,2,146,2024-06-29,2.37,19,315,37,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795564,6 min Sta. Very near Akihabara!!Good location/23,39314421,Masahiro,文京区,35.70588,139.76751,建物全体,8982,2,122,2024-06-24,1.98,19,336,23,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795655,6 min Sta. Very near Akihabara!!Good location/24,39314421,Masahiro,文京区,35.70587,139.76803,建物全体,9499,2,156,2024-06-20,2.53,19,315,29,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795766,6 min Sta. Very near Akihabara!!Good location/25,39314421,Masahiro,文京区,35.70589,139.76725,建物全体,8500,2,145,2024-06-29,2.35,19,339,36,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795921,6 min Sta. Very near Akihabara!!Good location/31,39314421,Masahiro,文京区,35.70523,139.76569,建物全体,9083,2,159,2024-06-08,2.57,19,253,29,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34796060,6 min Sta. Very near Akihabara!!Good location/32,39314421,Masahiro,文京区,35.70384,139.76591,建物全体,8516,2,118,2024-06-26,1.92,19,333,31,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34796165,6 min Sta. Very near Akihabara!!Good location/33,39314421,Masahiro,文京区,35.7041,139.76631,建物全体,8905,2,145,2024-06-18,2.35,19,328,41,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34796317,6 min Sta. Very near Akihabara!!Good location/34,39314421,Masahiro,文京区,35.70382,139.76763,建物全体,9250,2,151,2024-06-25,2.45,19,319,35,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34842751,6 min Sta. Very near Akihabara!!Good location/35,39314421,Masahiro,文京区,35.70604,139.76661,建物全体,8323,2,155,2024-06-25,2.53,19,336,34,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34842842,6 min Sta. Very near Akihabara!!Good location/41,39314421,Masahiro,文京区,35.70555,139.76614,建物全体,8500,2,131,2024-06-12,2.13,19,330,46,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34842905,6 min Sta. Very near Akihabara!!Good location/42,39314421,Masahiro,文京区,35.704,139.76764,建物全体,8574,2,140,2024-06-26,2.28,19,324,38,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34843019,6 min Sta. Very near Akihabara!!Good location/43,39314421,Masahiro,文京区,35.70453,139.76583,建物全体,8732,2,172,2024-06-28,2.80,19,342,37,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34843109,6 min Sta. Very near Akihabara!!Good location/44,39314421,Masahiro,文京区,35.70396,139.76649,建物全体,8871,2,153,2024-06-20,2.49,19,329,37,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34843191,6 min Sta. Very near Akihabara!!Good location/45,39314421,Masahiro,文京区,35.70402,139.76795,建物全体,8500,2,166,2024-06-22,2.70,19,309,39,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34843254,6 min Sta. Very near Akihabara!!Good location/51,39314421,Masahiro,文京区,35.70376,139.76664,建物全体,14496,2,219,2024-06-29,3.56,19,313,43,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34843302,6 min Sta. Very near Akihabara!!Good location/52,39314421,Masahiro,文京区,35.70585,139.76712,建物全体,12571,2,178,2024-06-04,2.95,19,301,50,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34843394,6 min Sta. Very near Akihabara!!Good location/53,39314421,Masahiro,文京区,35.70445,139.76573,建物全体,13929,2,189,2024-06-23,3.07,19,228,40,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
35199811,Tokyo Dome waiking area! Private room/Max2,265051449,Yuka,文京区,35.71694,139.75104,一般住宅個室,15274,1,19,2024-06-11,0.32,1,110,7,M130016168
36396116,Private room#13minutes by train to Tokyo station,34735989,茂,文京区,35.71939,139.7419,一般住宅個室,5107,1,97,2024-06-27,1.66,13,7,47,Hotels and Inns Business Act | 文京区文京保健所 | 2019文文生環き第509号
39755839,山手線駒込駅から徒歩4分くつろげる部屋401号室,301401183,金杉,文京区,35.73445,139.75233,建物全体,,2,2,2020-02-24,0.04,6,0,0,M130020856
40455474,池袋駅まで徒歩15分、畳の家，高速wi-fi(１G),243997738,Yuko,文京区,35.72295,139.72382,建物全体,,2,15,2024-02-13,0.27,1,260,4,M130020688
41555910,"Center Tokyo! Ueno 3 min,Designroom Dyson FreeWifi",4981880,Meta,文京区,35.7071647644043,139.76925659179688,建物全体,8777,1,85,2024-06-22,2.76,51,327,43,Hotels and Inns Business Act | 文京区文京保健所 | ２０２１文文生環き第　５０１　号
41557193,"MAX8！Center Tokyo Ueno 3min, 2 Bedroom suite 70#TV",4981880,Meta,文京区,35.7071647644043,139.76925659179688,建物全体,33426,1,37,2024-02-16,1.42,51,211,17,Hotels and Inns Business Act | 文京区文京保健所 | ２０２１文文生環き第　５０１　号
41579087,"Max 6ppl!Center Tokyo! Ueno 3 min,  Dyson FreeWifi",4981880,Meta,文京区,35.7071647644043,139.76925659179688,建物全体,16685,1,71,2024-06-21,3.71,51,268,46,Hotels and Inns Business Act | 文京区文京保健所 | ２０２１文文生環き第　５０１　号
41579448,"MAX6 Center Tokyo Ueno 3min, 2 Bedroom suite70#TV",4981880,Meta,文京区,35.7071647644043,139.76925659179688,建物全体,29872,1,44,2024-05-07,1.85,51,314,13,Hotels and Inns Business Act |  文京区文京保健所 | ２０２１文文生環き第　５０１　号
41649583,nestay inn tokyo kagurazaka 302,294205299,Nestay,文京区,35.70845,139.73416,建物全体,20000,1,13,2024-03-21,0.65,16,89,7,M130023541
42216324,Former Stone Smith's house - Newly Renovated,27384892,Tackt,文京区,35.7277,139.7526,建物全体,,1,2,2022-01-01,0.06,1,0,0,M130017638
42237296,东京大学旁/120㎡一户建/舒适/2浴2卫/ 秋葉原步行10分/上野至近/JR站7分/新宿直达10分,248413357,Li,文京区,35.70474,139.76621,建物全体,,2,2,2020-03-20,0.04,1,0,0,M130023916
42416829,6min->JRSuidobashi Sta/Small Double/SmokeOK/Breakf,332234923,ホテルウィングインターナショナル 後楽園,文京区,35.70501,139.75514,一般住宅個室,,1,0,,,20,55,0,Hotels and Inns Business Act | 文京区文京保健所長　友松栄二 | 15文文生環き第503号
42416871,6min->JRSuidobashi Sta/Small Double/SmokeOK/NoMeal,332234923,ホテルウィングインターナショナル 後楽園,文京区,35.70707,139.75631,一般住宅個室,,1,5,2022-04-20,0.10,20,55,0,Hotels and Inns Business Act | 文京区文京保健所長　友松栄二 | 15文文生環き第503号
42416943,6min->JRSuidobashi Sta/Twin/NoSmoke/Breakfast,332234923,ホテルウィングインターナショナル 後楽園,文京区,35.7048,139.75457,一般住宅個室,,1,0,,,20,56,0,Hotels and Inns Business Act | 文京区文京保健所長　友松栄二 | 15文文生環き第503号
