id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,新宿区,35.70263,139.74147,建物全体,39714,3,212,2024-05-14,1.63,3,38,25,M130003681
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,8142772,Min & Haru,新宿区,35.69857,139.704,一般住宅個室,12800,2,215,2024-06-07,1.63,13,82,22,M130002186
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,8142772,Min & Haru,新宿区,35.69848,139.70432,一般住宅個室,12800,2,159,2024-06-08,1.21,13,108,18,M130002186
1571298,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No1 ドミトリールーム,8142772,Min & Haru,新宿区,35.69847,139.70433,共有部屋,7760,2,194,2024-05-23,1.48,13,193,15,M130002186
1574946,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No4 シェアルーム,8142772,Min & Haru,新宿区,35.69848,139.70433,共有部屋,7760,2,165,2024-06-26,1.26,13,193,12,M130002186
2491507,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No5 シェアルーム,8142772,Min & Haru,新宿区,35.69847,139.70433,共有部屋,7760,2,92,2024-05-26,0.74,13,189,3,M130002186
2602722,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No2 ドミトリールーム,8142772,Min & Haru,新宿区,35.69848,139.70433,共有部屋,7760,2,182,2024-05-20,1.46,13,188,13,M130002186
2602791,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No6 ドミトリールーム,8142772,Min & Haru,新宿区,35.69848,139.70435,共有部屋,7760,2,82,2024-05-17,0.66,13,193,8,M130002186
2645379,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No7 シェアルーム,8142772,Min & Haru,新宿区,35.69848,139.70433,共有部屋,7760,2,76,2024-05-07,0.61,13,193,3,M130002186
3409030,Shinjuku abode: Discount applied on long term stay,17190614,Shu,新宿区,35.6989,139.69824,建物全体,,30,157,2022-12-04,1.29,1,0,0,M130000855
