id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
3814258,apartment hotel TASU TOCO,19611972,岩間,杉並区,35.70293,139.60045,建物全体,8714,3,218,2024-06-15,1.84,3,161,27,Hotels and Inns Business Act | 杉並区杉並保健所 | 22　杉並第　37960　号
3845889,COZY LOFT BEDROOM　#106,19089769,Manami,杉並区,35.70679,139.6551,建物全体,12000,3,91,2020-03-18,0.91,2,21,0,M130000777
3846001,COZY COMFY apartment,19089769,Manami,杉並区,35.70686575604375,139.6554380782686,建物全体,12000,4,145,2024-06-15,1.22,2,101,23,M130008732
3871442,Nishi-Ogikubo 1BR Roomy (SSH1BRR-S),18776800,近藤,杉並区,35.70399,139.59775,建物全体,19214,3,36,2020-02-02,0.31,20,50,0,M130002734
4396219,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,19214,3,55,2024-06-13,0.47,20,106,11,M130002742
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,23643,3,37,2024-05-03,0.33,20,136,14,M130002749
5410242,Steve's International Guest Place,28045851,Steve,杉並区,35.70055,139.60022,建物全体,10456,4,63,2023-11-29,0.61,1,87,4,M130000018
5464293,Finest Cafe/Bar/Hotel 3F in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,杉並区,35.70459,139.63712,建物全体,8000,2,161,2024-04-29,1.43,2,305,14,Hotels and Inns Business Act | 杉並区杉並保健所 | 31杉保衛環第50号
6380625,Sunny House in a Leafy Street,33088758,Nayu,杉並区,35.67951,139.64878,建物全体,30571,3,167,2024-06-26,1.52,1,173,12,M130001866
6856801,Nishi-Ogikubo 1BR Studio Type-B (SSH1BRS-B) 5F,18776800,近藤,杉並区,35.70402,139.5977,建物全体,18714,3,67,2024-04-19,0.64,20,231,12,M130002746
6914633,☆KOUENJI 5min / SHINJUKU 9min (Free WiFi) ☆,33705289,Tomomasa,杉並区,35.70565,139.65262,建物全体,9800,1,267,2024-05-15,2.45,4,82,15,M130001781
7136098,☆☆KOUENJI 5min / SHINJUKU 10min Free WiFi ☆☆,33705289,Tomomasa,杉並区,35.70522,139.65431,建物全体,9800,1,124,2024-05-24,1.14,4,228,22,M130001777
7450080,Japanese style room near Shinjuku,39017078,Lina,杉並区,35.68163,139.65261,一般住宅個室,6500,180,191,2020-03-19,1.76,1,365,0,M130000751
7899504,Top edge house 202,38655722,"Top Edge Co., Ltd.",杉並区,35.70366,139.62997,一般住宅個室,4800,1,36,2024-06-27,0.34,10,4,6,M130001125
7915597,Top edge house 102,38655722,"Top Edge Co., Ltd.",杉並区,35.70366,139.62999,一般住宅個室,,1,49,2024-04-16,0.46,10,0,6,M130001125
7954446,Top edge house 103,38655722,"Top Edge Co., Ltd.",杉並区,35.70365,139.62999,一般住宅個室,4300,1,44,2023-11-28,0.42,10,26,3,M130001125
9239019,SHINJUKU W Fuji House Great VALUE * 2rms 2baths *,10986553,Veronica,杉並区,35.69144,139.66396,建物全体,14247,2,103,2024-05-26,0.99,1,178,11,M130013034
9437825,Nishi-Ogikubo 1BR Box (SSH1BRBox) 5F,18776800,近藤,杉並区,35.70415363112948,139.5976820960641,建物全体,20214,1,19,2023-12-22,0.19,20,233,3,M130002745
9825656,"Apt by Carpeneter Spa near Shinjuku, Shimo, Koenji",44812749,Japanstay.Tokyo,杉並区,35.67275,139.65971,建物全体,11143,2,123,2024-06-16,1.19,11,84,29,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第331号
10553744,studio 15minutes to Sinjuku station,54434007,Shohei,杉並区,35.67441,139.66045,建物全体,12571,1,382,2024-05-27,3.72,5,227,19,M130001764
11575556,"New cozy studio ,10 min to Shinjuku",56131353,Kazutomi,杉並区,35.70253,139.62658,建物全体,6300,2,200,2024-06-02,1.99,1,16,30,M130000322
11675888,studio 15min to Sinjuku station #2,54434007,Shohei,杉並区,35.67266,139.66013,建物全体,11857,1,398,2024-06-09,3.95,5,242,25,M130001769
11997228,8mins to Shinjuku/1m to sta on foot/by the pond,11686184,Yoko,杉並区,35.70502,139.63193,建物全体,21104,2,179,2024-06-23,1.80,2,169,40,M130002732
12073235,HAMADAYAMA! COZY HOME IDEAL FOR LONG STAY/FAMILIES,37753161,Den,杉並区,35.68305,139.62548,一般住宅個室,30000,3,21,2024-06-12,0.24,1,152,4,M130001154
14015855,Nishi-Ogikubo 2BR Type-A (SSH2BR-A) 2F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,31214,3,25,2024-04-25,0.27,20,60,6,M130002737
14018114,Nishi-Ogikubo 2BR Type-B (SSH2BR-B) 2F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,25571,3,24,2024-04-29,0.27,20,102,8,M130002738
14094167,Nishi-Ogikubo 1BR Studio Type-A (SSH1BRS-A) 4F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,18714,3,40,2024-05-31,0.43,20,213,11,M130002743
14618565,Nishi-Ogikubo 1BR Type-A1 (SSH-A1) 4F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,19714,3,37,2024-05-03,0.52,20,182,12,M130002736
14700936,Nishi-Ogikubo 1BR Type-A2 (SSH-A2) 6F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,19714,3,40,2024-06-05,0.44,20,169,10,M130002735
14701831,Nishi-Ogikubo 1BR Type-B1 (SSH-B1) 6F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,17714,3,43,2024-05-29,0.53,20,172,12,M130002740
14715333,Nishi-Ogikubo 1BR Type-B2 (SSH-B2) 7F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,19214,3,37,2024-05-06,0.47,20,209,5,M130002744
15276332,おひとり様用　小さなゲストルーム room wi-fi　長期割引あり！学生歓迎！,93851602,Shigeru,杉並区,35.68252,139.65907,建物全体,12000,5,55,2024-05-29,0.60,6,171,6,M130000001
15905026,(KB#21) minute to station near Shinjuku/Koenji!,17228309,ZenHOMES,杉並区,35.69676,139.66012,建物全体,14357,2,131,2024-06-05,1.42,13,53,22,M130012430
16004073,(KB#21R) minute to station near Shinjuku/Koenji!,17228309,ZenHOMES,杉並区,35.69893,139.65931,建物全体,,2,111,2024-05-26,1.20,13,0,24,M130012432
16166539,[new construction]  1min Iogi Sta. /17min Shinjuku,2931434,Daisuke,杉並区,35.72524,139.6142,建物全体,12916,1,98,2024-06-03,1.07,1,225,17,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第239号
16374412,很帅男生在这里 开始养猫咪,36879269,Hiro,杉並区,35.70738,139.64501,一般住宅個室,,4,118,2024-03-30,1.29,3,0,9,M130008733
16457727,Nishi-Ogikubo 1BR Twin Type-C (SSH1BRT-C) 3F,18776800,近藤,杉並区,35.70399,139.59775,建物全体,19714,3,29,2024-06-05,0.33,20,207,6,M130002750
16480522,很酷男生在这里,36879269,Hiro,杉並区,35.70971,139.64506,一般住宅個室,12857,7,65,2024-03-11,0.71,3,131,6,M130008733
16625740,CuteFamilyHouse! 3LDK 6min Shinjuku/3min JR Sta.,36582105,Emi,杉並区,35.70504,139.64676,建物全体,33557,2,345,2024-06-27,3.79,3,127,58,Hotels and Inns Business Act | 東京都杉並区保健所 | 29杉保衛環第532号
16692808,和室キッチンバストイレ+room wi-fi＋LAN　長期割引あり！学生歓迎！,93851602,Shigeru,杉並区,35.68129,139.65952,建物全体,10000,5,40,2024-05-30,0.47,6,194,6,M130000001
16694529,出張や一人旅にぴったりの room wifi　長期割あり！,93851602,Shigeru,杉並区,35.68129,139.65952,建物全体,12000,5,61,2024-01-26,0.68,6,194,2,M130000001
17548435,Quiet nest in Tokyo.,75139813,京子,杉並区,35.67721,139.61593,建物全体,7700,1,127,2024-04-09,1.43,1,273,9,M130001605
17766599,☆KOUENJI 5min / SHINJUKU 10min( Free WiFi )☆☆☆,33705289,Tomomasa,杉並区,35.70489,139.65422,建物全体,9800,1,121,2024-05-19,1.38,4,258,16,M130001772
17948801,Comfortable! Cynthia House - Yellow Room,123150587,Cynthia,杉並区,35.68977,139.62307,一般住宅個室,,2,44,2022-11-25,0.50,3,0,0,M130000284
18202550,"[Rurban-105] Near Shinjyuku, GHIBLI Mus!!",44129333,Yuichi,杉並区,35.70443,139.5991,建物全体,12000,3,168,2024-05-06,1.92,4,33,15,M130028835
19080214,VILLA KUSUNOKI SHINJUKU shibuya within 10 mintues,52622646,信晶,杉並区,35.69385,139.66458,建物全体,24343,6,12,2023-12-16,0.22,1,112,9,M130019425
19355397,☆☆☆高円寺駅から5分/新宿まで9分／吉祥寺まで8分(wifiあり)☆☆☆,130718682,友政,杉並区,35.70347,139.65277,建物全体,11111,1,98,2024-05-27,1.17,1,315,14,M130001774
19413842,"Sophisticated  room,  Katakoto Inn 201",224251148,結香,杉並区,35.70392,139.61303,一般住宅個室,18729,1,119,2024-05-21,1.41,2,158,17,M130002560
19439403,"Your hideaway room, Katakoto Inn #202",224251148,結香,杉並区,35.70458,139.61126,一般住宅個室,15282,1,160,2024-06-09,1.88,2,155,13,M130002560
19774645,Cozy private apartment 8min train to Shinjuku!,30706521,Yong,杉並区,35.69884,139.65964,建物全体,11129,2,136,2024-06-25,1.61,3,67,19,M130004585
20041303,#5 studio 15min to Shinjuku station #5 apartment,54434007,Shohei,杉並区,35.67413,139.66024,建物全体,11857,1,233,2024-06-11,2.78,5,282,18,M130001763
20058771,Fun 2nd floor Apt w Loft Shinjuku5min Shimo Koenj,44812749,Japanstay.Tokyo,杉並区,35.67275,139.65971,建物全体,11143,2,39,2024-06-01,0.69,11,232,22,Hotels and Inns Business Act | 杉並区杉並保健所 | 30保衛環第331号
20133389,10 min to Shinjuku. A Japanese style house.,137495256,Kenichi,杉並区,35.70869,139.63445,一般住宅個室,,3,195,2024-06-13,2.33,1,9,35,M130001412
20233369,Clean & Comfortable! Cynthia House,123150587,Cynthia,杉並区,35.69024,139.62522,一般住宅個室,16225,2,40,2024-05-20,0.51,3,10,12,M130000284
20458950,Home Tokyo Koenji- Tatami Room,30807537,Junko,杉並区,35.70784,139.64664,建物全体,11261,1,95,2024-05-22,1.14,3,66,22,M130004583
20576512,#4 studio 15min to Sinjuku station #4 apartment,54434007,Shohei,杉並区,35.6728,139.66015,建物全体,11857,1,140,2024-05-27,1.68,5,285,26,M130001765
20866034,駅近、昭和の和室で暮らす。room wi-fi付　長期割引あり！学生歓迎！,93851602,Shigeru,杉並区,35.68129,139.65952,建物全体,10000,5,37,2024-05-03,0.46,6,166,5,M130000001
20880820,Home Tokyo Koenji- Japanese Tatami Room,30807537,Junko,杉並区,35.70573,139.64719,建物全体,11857,1,116,2024-06-08,1.42,3,23,17,M130004582
21102829,①Shin-koenji Guesthouse【Female only＆Private room】,44129457,Sangwon,杉並区,35.69107,139.65181,一般住宅個室,,1,49,2020-01-17,0.60,8,0,0,M130003035
21113541,②Shin-koenji Guesthouse【Female only＆Private room】,44129457,Sangwon,杉並区,35.69107,139.65181,一般住宅個室,,1,38,2019-10-27,0.47,8,0,0,M130003035
21182191,③Shin-koenji Guesthouse【Female only＆Private room】,44129457,Sangwon,杉並区,35.69107,139.65181,一般住宅個室,,1,33,2019-11-04,0.41,8,0,0,M130003035
21209298,④Shin-koenji Guesthouse【Female only＆Private room】,44129457,Sangwon,杉並区,35.69107,139.65181,一般住宅個室,,1,44,2020-02-18,0.54,8,0,0,M130003035
21220334,⑤Shin-koenji Guesthouse【Female only＆Private room】,44129457,Sangwon,杉並区,35.69107,139.65181,一般住宅個室,,1,31,2019-11-29,0.39,8,0,0,M130003035
21721258,3A★PET OK★Sunny1BedRmAPT 8mins>Shinjuku w/parking,100098226,Tomoko Cathy,杉並区,35.689431717738216,139.66242275146632,建物全体,8931,2,102,2024-05-26,1.27,3,343,10,Hotels and Inns Business Act | 東京都杉並区保健所 | 30杉保衛環第279号
