id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
3235958,Enjoy Simple Life in Tokyo (1),16241464,Kaori,板橋区,35.78156,139.63309,建物全体,6571,1,115,2024-05-12,0.97,2,131,17,M130000056
3339222,Enjoy Simple Life in Tokyo (2),16241464,Kaori,板橋区,35.77932,139.63338,建物全体,7200,1,68,2024-03-25,0.64,2,101,9,M130000055
6120428,"cozy apartment, Free Wi-Fi♪",16362794,Susumu,板橋区,35.75913,139.68681,建物全体,,14,186,2024-05-30,1.68,1,0,2,M130002626
7038511,3番伝統日本家屋都内には珍しい东京日本Free Wifi-2,29681737,文娟,板橋区,35.76456,139.67015,一般住宅個室,9800,1,59,2023-10-30,0.54,6,353,2,M130001805
7903097,"#2 Close to Ikebukuro area, 12mins by train",9542500,Jiang,板橋区,35.75915,139.68365,一般住宅個室,6143,4,101,2024-05-27,0.96,3,231,16,M130000033
7911710,#1 DoubleSize Bed room 12mins by train to kebukuro,9542500,Jiang,板橋区,35.76123,139.68315,一般住宅個室,6571,3,89,2024-06-23,0.83,3,315,11,M130000033
9006622,"Licensed LM101,2min Oyama 3stop Ikebukuro 9th Year",22193183,Kyoko,板橋区,35.74763107299805,139.70321655273438,建物全体,12286,4,149,2024-06-20,1.41,4,143,15,M130009193
9163537,"Licensed LM202,2min Oyama 3stop Ikebukuro 9th Year",22193183,Kyoko,板橋区,35.74768829345703,139.70339965820312,建物全体,11357,4,121,2024-06-22,1.16,4,161,8,M130009198
9676636,"Licensed LM102,2min Oyama 3mins Ikebukuro 9th Year",22193183,Kyoko,板橋区,35.747371673583984,139.70323181152344,建物全体,11357,4,109,2024-06-29,1.05,4,176,17,M130009194
9913066,大山駅徒步4分平层90㎡超大客厅光线充沛（池袋至近）,50435854,Hong,板橋区,35.74664,139.70687,建物全体,30000,1,11,2024-05-06,0.83,2,309,9,M130033625
