id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,江戸川区,35.68374,139.85971,建物全体,7260,2,139,2024-06-28,1.16,2,118,39,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Masakatsu,江戸川区,35.68358,139.85985,建物全体,7549,2,107,2024-06-21,0.95,2,138,30,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
7057399,102Tokyo JRHiraiSt. take a walk 9minutes apartment,37012733,Mariko,江戸川区,35.70208,139.84227,建物全体,6000,6,63,2024-06-26,0.63,3,19,7,M130005528
7349832,101Tokyo JRHirai St. take a walk9minutes apartment,37012733,Mariko,江戸川区,35.70157,139.84156,建物全体,6000,6,90,2024-05-22,0.83,3,75,17,M130006317
9540169,EM21-専用台所＆冷蔵庫つき個室【ペット可】2人予約はベッド１台／閑散時3人予約は2部屋（要確認）,49237439,Ken,江戸川区,35.73976,139.89518,一般住宅個室,2571,3,5,2022-11-13,0.06,12,365,0,M130002463
9578555,セミダブルベッド＋押入れ【ペット可の宿】2人目無料サービス時のベッドは1台,49237439,Ken,江戸川区,35.740009,139.89624,一般住宅個室,2500,3,14,2024-05-26,0.14,12,364,3,M130002463
9916890,EM-PT3　セミダブルベッド【ペット可】2人予約はベッド1台／３人以上の予約はマットレス対応,49237439,Ken,江戸川区,35.74012,139.89638,一般住宅個室,2586,3,28,2024-05-07,0.31,12,365,1,M130002463
11849761,103Tokyo JRHirai St. take a walk9minutes apartment,37012733,Mariko,江戸川区,35.70139,139.84304,建物全体,6000,6,61,2024-05-03,0.62,3,23,11,M130005531
15403283,[Free Parking]15mins to Tokyo Disney Resort by Bus,98584547,Hiro,江戸川区,35.67147,139.87543,建物全体,20893,2,177,2024-06-21,1.91,1,157,34,Hotels and Inns Business Act | 江戸川保健所 | 23江衛環01第4号
16441221,202离车站1分钟、浅草、晴空塔东京铁塔、银座、筑地、上野、迪斯尼直达机场直达，电梯公寓！周边繁华！,53550586,雯,江戸川区,35.74317,139.88544,建物全体,9486,1,127,2024-06-17,1.39,6,86,19,M130002473
16740256,303离车站1分钟、浅草、晴空塔东京铁塔、银座、筑地、上野、迪斯尼直达机场直达，电梯公寓！周边繁华！,53550586,雯,江戸川区,35.74371,139.88423,建物全体,9743,1,148,2024-06-28,1.68,6,95,31,M130002477
17482160,"直达羽田成田的机场大巴,徒步5分钟直达迪斯尼的巴士浴室厕所都是客人专用的免费提供车站接送服务和停车位",113989007,Ye,江戸川区,35.70511,139.8814,一般住宅個室,12143,1,155,2024-06-25,1.76,1,190,40,M130000813
17530826,没有清洁费、民宿已经合法通过了、羽田机场30分钟、成田空港1个小时、住宿三天以上客人可以免费送迪士尼,118889641,山,江戸川区,35.67323,139.85309,一般住宅個室,6500,2,93,2020-01-01,1.05,1,92,0,M130004258
19001398,离地铁站1分钟!电梯公寓!提供两套独立2室一厅公寓！浅草、银座、天空树、上野、迪斯尼直达!周边繁华!,53550586,雯,江戸川区,35.74178,139.88435,建物全体,18857,1,31,2024-05-04,0.37,6,84,10,M130002475
19186249,NEW OPEN CAMPAIGN!,132718030,Sumomo,江戸川区,35.70585,139.84451,建物全体,17714,2,80,2024-06-03,0.94,1,289,16,M130004397
19559063,東京23区内で駐車場付きの珍しい物件！ 船堀駅徒歩7分の一軒家貸し切り！ 下町観光に最適です,46036816,Sunny,江戸川区,35.67872,139.87,建物全体,27000,2,13,2024-03-16,0.16,2,60,5,M130021100
20655097,离地铁站1分钟!电梯公寓!提供三套独立2室一厅公寓！浅草、银座、天空树、上野、迪斯尼直达!周边繁华!,53550586,雯,江戸川区,35.74266,139.88493,建物全体,37143,1,4,2019-05-19,0.05,6,52,0,M130002478
21219249,Private Kasai House/Easy Travel to TDR & Airports,51779608,Taka & Tomo,江戸川区,35.66204,139.86995,建物全体,45143,2,122,2024-06-15,1.52,3,271,20,M130003437
22455627,"to  AKIBA 16min by train ,3 min walk to JR KOIWA",147469862,Shigenori,江戸川区,35.73075,139.88378,建物全体,26000,1,25,2023-05-04,0.32,4,361,0,M130021938
22712655,"5rooms,3toilets,3washstands,2showerrooms,2 parking",65214293,Qiaoling,江戸川区,35.73807,139.88118,建物全体,40429,2,146,2024-06-28,1.92,1,176,60,Hotels and Inns Business Act | 江户川保健所 | 20江衛環01第33号
23347036,403离车站1分钟、浅草、晴空塔东京铁塔、银座、筑地、上野、迪斯尼直达机场直达，电梯公寓！周边繁华！,53550586,雯,江戸川区,35.74252,139.88285,建物全体,9514,1,99,2024-06-01,1.29,6,56,20,M130002479
23534534,2 MIN FROM JR KOIWA STATION AIRPORT/DISNEY BUS,41541201,Junya,江戸川区,35.73378,139.88407,一般住宅個室,6500,2,49,2023-09-21,0.69,2,23,1,M130004973
23704257,402离车站1分钟、浅草、晴空塔东京铁塔、银座、筑地、上野、迪斯尼直达机场直达，电梯公寓！周边繁华！,53550586,雯,江戸川区,35.74391,139.88471,建物全体,9829,1,93,2024-06-11,1.22,6,74,19,M130002478
24457524,Direct Access Shinjuku! Balcony&Free Parking!,184730720,Yu,江戸川区,35.68409,139.87146,建物全体,,2,19,2021-09-26,0.25,1,0,0,M130008083
25872109,駅から徒歩115M静かの住宅地区+WIFI  歡迎光臨,194387843,Miki,江戸川区,35.73672,139.89642,建物全体,24130,7,43,2024-05-31,0.61,1,77,3,Hotels and Inns Business Act | 14江衛環01第77号 | 第７７号
27238071,2 MIN FROM JR KOIWA STATION  AIRPORT/DISNEY BUS,41541201,Junya,江戸川区,35.73541,139.88404,一般住宅個室,6500,2,76,2024-06-16,1.07,2,36,12,M130004973
28188891,３min-walk to JR.koiwa - RM 203,147469862,Shigenori,江戸川区,35.73202,139.884,建物全体,9000,2,38,2024-04-09,0.54,4,264,8,M130007024
28209966,3min to JR koiwa 16min to JR AKIBA  by train RM101,147469862,Shigenori,江戸川区,35.73331,139.88545,建物全体,11000,2,77,2024-03-10,1.09,4,195,9,M130007023
28271131,NewHouse★CloseDisneyland★Easy2Airports★Kasai Sta.,5221876,QiQi,江戸川区,35.67108,139.87158,建物全体,38944,1,109,2024-05-06,1.54,2,81,15,M130006971
29104492,"Traveling home
JR电车直达秋叶原、新宿
巴士直达羽田机场、成田机场、迪士尼乐园",201766839,Ayaka,江戸川区,35.72677,139.87879,建物全体,,2,29,2020-01-04,0.46,1,0,0,M130008754
29466488,Keisei-Koiwa station foot on 8min/Max 4 guests,221944767,平生,江戸川区,35.74685,139.88537,建物全体,20371,1,57,2024-06-19,0.83,1,175,10,M130008998
29973319,【最大10名】最寄駅徒歩8分丨3階建2LDKの広い戸建丨新宿や秋葉原まで電車で1本丨高速Wi-Fi,217150375,Shotaro,江戸川区,35.68927,139.9009,建物全体,20208,2,77,2024-05-18,1.14,2,329,14,M130026951
30516046,TYPE-C twin room max6 direct to Akihabara/SkyTree,181447000,四叶草,江戸川区,35.73783,139.88392,建物全体,10215,1,61,2024-06-14,0.91,15,249,22,Hotels and Inns Business Act | 江戸川保健所 | １９江衛環０１第８１号
30516058,[No cleaning fee]twinroom directtoAkihabara/SkyTre,181447000,四叶草,江戸川区,35.73792,139.88436,建物全体,13936,1,47,2024-06-09,0.70,15,250,7,M130011258
30548193,TYPE-A Doubleroom Direct to Shinjuku/airport,181447000,四叶草,江戸川区,35.73766,139.884,建物全体,9232,1,65,2024-05-19,0.97,15,233,12,Hotels and Inns Business Act | 江戸川保健所 | １９江衛環０１第８１号
30548333,TYPE-a doubleroom max2 direct to Akihabara/SkyTree,181447000,四叶草,江戸川区,35.73807,139.88576,一般住宅個室,9364,1,83,2024-05-18,1.23,15,233,2,Hotels and Inns Business Act | 江戸川保健所 | 19江衛環01第81号
30577230,【短期】葛西駅 - 電車 to 銀座 & 東京 & DISNEY へ便利 K-101,59220726,Shinnosuke,江戸川区,35.66056,139.88502,一般住宅個室,5200,1,49,2024-06-14,0.73,5,36,16,M130011613
30828623,【短期】葛西駅 - 電車 to 銀座 & 東京 & DISNEY へ便利 K-102,59220726,Shinnosuke,江戸川区,35.66053,139.88647,一般住宅個室,5000,1,73,2024-06-29,1.09,5,62,19,M130011613
31061769,【49㎡ Studio Suite】5 min from Hirai sta. /max 6 ppl,229388614,Kaoru,江戸川区,35.70917,139.84469,建物全体,21000,1,53,2024-04-22,0.79,5,303,7,Hotels and Inns Business Act | 東京都江戸川保健所 | 19江衛環01第73号
31061939,43㎡ Duplex/5 min from Hirai sta/max 8ppl/FreeWiFi,229388614,Kaoru,江戸川区,35.70949,139.84349,建物全体,26471,1,56,2024-05-27,0.84,5,242,4,M130011363
