id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
905944,4F - Near Shinjuku & Shibuya,4847803,Best Stay In Tokyo!,渋谷区,35.67878,139.67847,建物全体,25738,3,219,2024-06-19,1.60,6,115,33,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋健生収第4972号
1249571,Unique stay! New&1min to the subway,6809418,Yume,渋谷区,35.65111,139.72165,建物全体,62047,7,134,2024-06-07,1.02,1,128,18,M130000957
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,渋谷区,35.67191,139.68367,一般住宅個室,39000,2,171,2024-06-15,1.38,1,108,7,M130000961
3085134,"""HirooHouse""3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,渋谷区,35.65174,139.72175,建物全体,44429,5,155,2024-06-18,1.27,2,260,19,M130003771
3689244,渋谷区・原宿近くマンション2DK / MDS2BR,18776800,近藤,渋谷区,35.67205,139.67877,建物全体,34000,3,41,2024-05-03,0.35,20,124,14,M130003456
3838856,SHINJUKU ★Designer Pencil House★ Airport Transfer,4626879,Tracey,渋谷区,35.68245,139.69009,建物全体,56250,1,230,2024-06-15,1.93,8,155,25,M130018884
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,渋谷区,35.64966,139.72181,建物全体,50143,5,151,2024-06-28,1.27,2,161,13,M130003789
3956263,TINY Home in Shibuya Close to Shinjuku,4847803,Best Stay In Tokyo!,渋谷区,35.67813,139.67913,建物全体,17695,2,163,2024-06-29,1.38,6,57,51,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋建生収第７７０号
4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1),24812892,Mao,渋谷区,35.67744,139.68058,建物全体,18000,1,314,2024-06-13,2.72,1,46,38,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3946号
4925503,#103　新宿/渋谷 shinjuku/shibuya 2024/1  リニューアルオープン,25370510,Mitsuko,渋谷区,35.67923,139.67571,建物全体,12000,2,217,2024-06-24,2.17,6,140,30,M130002439
4926317,#102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 2023年5月リニューアルオープン！,25370510,Mitsuko,渋谷区,35.68068,139.6753,建物全体,11143,2,298,2024-06-18,2.59,6,134,25,M130003221
4926426,#203  shibya/shinjuku 幡ヶ谷駅近  2023/12 リニューアルオープン！,25370510,Mitsuko,渋谷区,35.67933,139.67511,建物全体,10000,2,257,2024-06-08,2.30,6,130,27,M130002430
5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,渋谷区,35.66339,139.68741,建物全体,,2,228,2021-07-10,2.03,3,0,0,M130005397
5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,渋谷区,35.66339,139.68741,建物全体,,2,195,2021-12-30,1.73,3,0,0,M130005396
6975801,"Japanese Modern Studio, 2 stops to Shinjuku (#2)",36396507,Yuka,渋谷区,35.67681,139.67929,一般住宅個室,13429,1,215,2024-06-02,1.97,5,83,30,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3881号
7938869,100-year-old wooden house/ 1min to the station,41865642,Yuki,渋谷区,35.65191,139.7205,建物全体,42686,4,202,2024-06-26,1.89,1,15,23,M130000963
8173177,"Japanese Modern Apt, 2 Stops to Shinjuku (#3)",36396507,Yuka,渋谷区,35.6772,139.67896,一般住宅個室,12000,1,243,2024-06-15,2.26,5,69,31,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3882号
8328784,#503 / Near Shinjuku Shibuya / Large open balcony,43751877,Masami,渋谷区,35.67949,139.67874,建物全体,,2,316,2024-06-01,2.96,11,0,31,M130000187
8341784,Near Shinjuku! BigBalcony New!Powerful clothdryer~,43855091,Rumika,渋谷区,35.6857,139.68274,建物全体,27143,4,181,2024-06-24,1.69,19,148,29,Hotels and Inns Business Act | 渋谷区保健所 | ５渋保生環第659号
8468825,Tokyo life style like you live here,42380408,Satoru & Kazue,渋谷区,35.65361,139.70953,建物全体,,4,159,2020-02-22,1.50,2,0,0,Hotels and Inns Business Act | 東京都渋谷区保健所 | ３１渋健生収第２２１０号
8618595,#305 / Near Shinjuku Shibuya / 3 beds/ Bright room,43751877,Masami,渋谷区,35.67949,139.67874,建物全体,27501,2,432,2024-06-24,4.09,11,268,47,Hotels and Inns Business Act | 東京都渋谷保健所 | ３０渋保生環旅第２９号
8784897,"Big Studio Apt, 2 Stops to Shinjuku (#4)",36396507,Yuka,渋谷区,35.67733,139.6789,一般住宅個室,30527,1,276,2024-06-29,2.62,5,51,31,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3944号
8815730,"Simple Cozy Apt, 2 Stops to Shinjuku (#5)",36396507,Yuka,渋谷区,35.67694,139.67878,一般住宅個室,18514,1,231,2024-06-24,2.18,5,52,42,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3883号
9096540,2baths/2Toilets /Garden House /One stop Shinjuku,43855091,Rumika,渋谷区,35.68160629272461,139.68045043945312,建物全体,41429,4,169,2024-06-16,1.61,19,79,17,Hotels and Inns Business Act | 渋谷区保健所 | ５渋保生環第５９８号
9220482,"Simple Cozy Studio Apt, 2 Stops to Shinjuku (#6)",36396507,Yuka,渋谷区,35.67692,139.68061,一般住宅個室,11786,1,237,2024-06-28,2.26,5,71,32,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3947号
9280298,"Quiet, sunny and clean studio at 4min Ebisu",48192801,ゆき,渋谷区,35.644540071934,139.70895253121853,建物全体,8929,3,117,2024-06-28,1.12,1,36,42,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第2392号
9676049,"#202 / Near Shinjuku,Shibuya / 2 Bedroom",43751877,Masami,渋谷区,35.67949,139.67874,建物全体,26763,2,351,2024-06-23,3.37,11,262,40,Hotels and Inns Business Act | 東京都渋谷保健所 | ３１渋健生収第１８６７号
10110295,3 mins walk from A0 exit of Shibuya station #B13,46443714,Taku,渋谷区,35.6588,139.69632,建物全体,31000,1,146,2023-11-06,1.41,2,269,1,M130005051
10210751,Remodeled(Jan2024)/Shibuya Sta.3min/Crossing 7min,49589921,Kim,渋谷区,35.66034156339862,139.69738776896375,建物全体,25145,2,205,2024-05-21,1.98,4,75,26,M130007660
10322230,"Shibuya Crossing, Cozy Studio 302",53118015,Hirotaka,渋谷区,35.65858,139.69535,建物全体,13343,2,343,2024-06-23,3.37,6,17,62,Hotels and Inns Business Act | 東京都渋谷区保健所 | 30渋保生環旅第22号
10459562,"Shibuya Crossing, Japanese Elegance 303",53118015,Hirotaka,渋谷区,35.6591,139.69643,建物全体,,3,332,2024-06-20,3.46,6,16,57,Hotels and Inns Business Act | 東京都渋谷区保健所 | 30渋保生環旅第23号
10459659,"Shibuya Crossing, Spacious Apt. 401, No Elevator",53118015,Hirotaka,渋谷区,35.66022,139.69551,建物全体,13243,2,354,2024-06-24,3.49,6,20,79,Hotels and Inns Business Act | 東京都渋谷区保健所 | 31渋健生収第2644号
10534006,☆Cozy Japanese style room☆,54320285,Kazuko,渋谷区,35.662422,139.701248,建物全体,27857,1,148,2024-05-12,1.45,1,40,14,M130013557
10582789,Pippin's Inn - hygge home with cats - Shibuya,42815177,Ushka,渋谷区,35.67505,139.69004,建物全体,21850,1,307,2024-06-25,3.09,2,62,62,Hotels and Inns Business Act | 30渋保生環旅 | 第13号
10733833,3 mins walk from A0 exit of Shibuya station #B14,46443714,Taku,渋谷区,35.65815,139.6953,建物全体,25000,1,156,2024-04-12,1.53,2,269,2,M130005053
11976628,#301 / Near Shinjuku Shibuya / Small kawaii room,43751877,Masami,渋谷区,35.67949,139.67874,建物全体,18273,2,334,2024-06-26,3.33,11,210,37,Hotels and Inns Business Act | 東京都渋谷保健所 | ３０渋保生環旅第２８号
11981272,4baths/4rooms /1stop Shinjuku/Whole house,43855091,Rumika,渋谷区,35.68457,139.68443,建物全体,35000,4,156,2024-06-17,1.58,19,72,31,Hotels and Inns Business Act | 渋谷区保健所 | ５渋保生環第５９４号
12335522,#202  SHIBUYA/SHINJUKU 2023/9リノベーション！リニューアルオープン！,25370510,Mitsuko,渋谷区,35.68032455444336,139.67611694335938,建物全体,10000,2,196,2024-06-09,2.01,6,100,25,M130002433
12597472,Wonderfully Located 80sqm Flat in Harajuku,65306500,カブシキカイシャ,渋谷区,35.66632,139.7043,建物全体,65000,2,293,2024-06-04,2.95,2,7,49,Hotels and Inns Business Act | 東京都渋谷区保健所 | 31渋健生収第4535号
12726612,閑静な住宅街の一軒家、渋谷、原宿、代々木公園、明治神宮の近く、2BD、トイレ、シャワー、一人も良し,69158380,Toshiko,渋谷区,35.67258,139.68424,一般住宅個室,9657,4,137,2024-06-24,1.62,2,151,21,M130002941
12899094,Twin room 1 stop Shinjyuku,43855091,Rumika,渋谷区,35.68447,139.68412,建物全体,9000,4,141,2024-06-24,1.43,19,159,14,M130003422
13008801,EG Sasazuka 301,21210751,Ken,渋谷区,35.67571,139.66888,建物全体,14800,2,227,2024-06-05,2.30,11,115,6,M130001995
13291457,The NINJA house near Shinjuku,75000681,Shin,渋谷区,35.68033,139.67274,建物全体,16086,4,144,2024-03-31,1.48,1,159,5,M130000965
13500633,Shibuya Japanese-style room2DK +Pocket Wifi,77438017,Tomoko,渋谷区,35.66543387067758,139.69201227721467,建物全体,19143,3,142,2024-06-02,1.46,1,62,28,M130017410
14431640,隠れ家のような邸宅・渋谷中心街の立地・大人数での東京観光の拠点に最適！,77440587,Ryo,渋谷区,35.66336,139.6929,建物全体,200000,1,162,2024-05-25,1.71,2,150,23,M130004501
14540030,2. Shibuya Sta. 5min WALK! Shinjuku 7min! mWiFi!,45524204,Tokiko,渋谷区,35.66063,139.69975,建物全体,,2,328,2024-06-23,3.44,1,4,43,M130000446
14672556,Amazing House. Hidden Gem in the Heart of Shibuya!,77440587,Ryo,渋谷区,35.66198,139.69473,建物全体,62857,1,172,2024-06-12,1.81,2,99,26,M130004495
15088866,Great Location!Near Shinjuku Sta. /WiFi  Oasis202,43554294,Happy,渋谷区,35.682461,139.703995,建物全体,12208,2,162,2024-06-12,1.75,3,216,23,M130008709
15457526,Stylish 80sqm Duplex. in Harajuku/Omotesando,65306500,カブシキカイシャ,渋谷区,35.66526,139.70673,建物全体,60000,2,217,2024-06-12,2.33,2,20,40,Hotels and Inns Business Act | 東京都渋谷区保健所 | 31渋健生収第4534号
15654578,【Great Location!】Near Shinjuku Sta. /Simmons 201,43554294,Happy,渋谷区,35.682461,139.703995,建物全体,12208,2,122,2024-03-07,1.32,3,227,16,M130008710
15693947,Cozy Tokyo condo Shibuya Crossing 6 min walk,101313377,Siegfried,渋谷区,35.65851,139.69533,建物全体,27000,2,33,2024-05-31,1.68,4,226,15,M130031938
15783268,#201 / Shinjuku/Shibuya / 2 bedrooms / love cats,43751877,Masami,渋谷区,35.67949,139.67874,建物全体,29531,3,320,2024-06-29,3.44,11,165,44,Hotels and Inns Business Act | 東京都渋谷保健所 | ３１渋健生収第１８６６号
15860649,Live in a house in Omotesando. 2BR 45 sqm.,102799868,Taeko,渋谷区,35.66501,139.7071,建物全体,32000,3,194,2024-06-22,2.09,1,33,32,M130000218
16196939,A5【Summer Vacation】SHIBUYA sta. 8min Furnished 1DK,161213332,Nozomi,渋谷区,35.6559,139.6968,建物全体,37714,2,138,2024-06-10,1.51,8,110,17,M130015877
16309382,2 separate bedroom in Shibuya,42380408,Satoru & Kazue,渋谷区,35.65353,139.7094,建物全体,,2,100,2020-03-11,1.10,2,0,0,Hotels and Inns Business Act | 東京都渋谷区保健所 | ３１渋健生収第２２０９号
16315070,▼Sterilized▼Near to Harajuku/Build in 2017/7sta!,63719385,Shin,渋谷区,35.6745,139.71057,一般住宅個室,,2,76,2024-06-26,1.23,1,59,15,M130015468
16377086,A7【Summer Vacation】SHIBUYA sta. 8min Furnished 1DK,161213332,Nozomi,渋谷区,35.65726,139.69701,建物全体,34714,2,144,2024-06-25,1.57,8,242,25,M130015880
16459229,B5【Summer Vacation】SHIBUYAsta. 8min Furnished Room,161213332,Nozomi,渋谷区,35.65544,139.69655,建物全体,21000,2,134,2024-06-24,1.48,8,240,20,M130015878
16469921,B7【Summer Vacation】SHIBUYAsta. 8min Furnished Room,161213332,Nozomi,渋谷区,35.65708,139.69474,建物全体,21714,2,130,2024-06-13,1.42,8,99,14,M130015881
16471617,A2【Summer Vacation】SHIBUYA sta. 8min Furnished 1DK,161213332,Nozomi,渋谷区,35.65681,139.69671,建物全体,37714,2,122,2024-06-24,1.34,8,79,15,M130011150
16759740,A6【Summer Vacation】SHIBUYA sta. 8min Furnished 1DK,161213332,Nozomi,渋谷区,35.65584,139.69472,建物全体,37714,2,95,2024-06-28,1.07,8,79,19,M130015879
16999316,Holiday Place207 /Shibuya 5min by train Sangenjaya,7923349,Rintaro,渋谷区,35.65887,139.70248,建物全体,49286,2,160,2024-05-30,1.79,4,145,26,M130027018
17195814,【TOKYO Ebisu/Shibuya】Artistic cozy weekly houseE1,115761020,Ken & Mayu,渋谷区,35.64612,139.71829,一般住宅個室,24057,1,251,2024-06-28,2.83,1,51,43,M130000962
17465718,"Bright, Cozy Studio Apt. 2 stops to Shinjuku (#8)",118290014,Yuna,渋谷区,35.67751,139.6808,一般住宅個室,17143,1,152,2024-06-20,1.71,5,77,24,M130030663
17500157,【Yoyogi House】Shinjuku walking distance!Wi-Fi/Max9,118431494,Yuka,渋谷区,35.68374292925666,139.69812176305592,建物全体,51514,1,337,2024-06-28,3.81,1,108,50,Hotels and Inns Business Act | 渋谷区保健所 | 28渋保生環旅第1号
17541108,Natural Ellipse Tokyo,16797832,Taeko,渋谷区,35.65805,139.69585,建物全体,,4,59,2022-11-09,0.67,1,0,0,M130031250
17582586,[2C]smi:re stay Harajyuku Renovated Design House,51295725,Jingumae,渋谷区,35.67032,139.70939,建物全体,34000,4,94,2023-12-31,1.07,2,75,10,M130026356
17738103,"Simple Cozy Apt, 2 Stops to Shinjuku (#9)",118290014,Yuna,渋谷区,35.67674,139.6805,一般住宅個室,18000,1,150,2024-06-17,1.70,5,39,20,M130030662
18110817,100m2/4Bed room/shinjyuku 1min by train/nr shibuya,29209062,Kevin,渋谷区,35.67707,139.68395,建物全体,48571,2,260,2024-06-24,2.96,5,116,50,Hotels and Inns Business Act | 東京都渋谷区保健所 | 30渋保生環旅第32号
18129460,quiet&cozy/shinjyuku 1min by train/near shibuya,29209062,Kevin,渋谷区,35.67835,139.68409,建物全体,14857,2,161,2024-06-17,1.83,5,24,22,M130013345
18130097,quiet&comfy/shinjyuku 1min by train/nr shibuya,29209062,Kevin,渋谷区,35.67847,139.68372,建物全体,15000,2,156,2024-06-21,1.78,5,18,22,M130013344
18163466,#105 / A room with bright sunlight.,43751877,Masami,渋谷区,35.67949,139.67874,建物全体,14766,2,306,2024-06-26,3.49,11,205,60,Hotels and Inns Business Act | 東京都渋谷保健所 | ３０渋保生環旅第２７号
18956450,EbisuSta/7 min/1stF/3LDK/6Bed/10Pep/Free Internet,132115218,Mino,渋谷区,35.65329,139.71198,建物全体,39680,2,132,2024-06-23,1.54,1,236,24,M130007736
19164770,Canta-ta village  カンタータヴィレッジ,134018232,中野,渋谷区,35.67833,139.6758,建物全体,18000,3,165,2024-06-23,1.94,2,73,30,M130002343
19391039,Hakke-an,135948608,Daisuke,渋谷区,35.66881,139.68869,建物全体,20000,3,145,2024-04-28,1.71,1,188,25,M130007391
19439043,Heart of Shibuya Studio 301,53118015,Hirotaka,渋谷区,35.65875,139.69535,建物全体,13314,2,286,2024-06-24,3.38,6,10,65,Hotels and Inns Business Act | 東京都渋谷区保健所 | 30渋保生環旅第21号
19769518,2 mins to Shinjuku＃Max 9ppl#Free wifi,139539997,Bonnie,渋谷区,35.684567502835115,139.6833611977474,建物全体,53714,1,46,2024-04-12,0.79,1,215,19,M130033981
20017756,Shibuya sta. in 8min★Remote work OK & Wifi #AS334,69796423,Takako And Shige,渋谷区,35.65805,139.69681,建物全体,42529,1,132,2024-04-09,1.57,1,48,12,M130003461
20289881,２階・西新宿東５丁目駅歩2分(大江戸線)平坦な道・飲食店・薬局・銭湯・WI-FI,143706131,Aki,渋谷区,35.69027,139.68331,建物全体,33771,1,204,2024-06-17,2.44,3,145,48,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第2812号
20924868,"The Best Location of Tokyo!Shinjuku,Harajuku close",150411219,Ryoko,渋谷区,35.68212,139.6998,建物全体,35429,2,89,2024-06-05,1.11,3,90,22,M130020197
21036847,"A new House,Shinjiku 7min!Harajiku,Yoyogi,closed!",150411219,Ryoko,渋谷区,35.68229,139.69804,建物全体,32000,2,121,2024-04-14,1.49,3,52,16,M130005403
21155044,【NEW】Tokyo Spacious Modern House,19615511,Panda,渋谷区,35.647608457022486,139.71977639432578,建物全体,70000,1,51,2024-06-26,0.63,1,362,17,M130003474
21167609,"閑静な住宅街の一軒家、渋谷、原宿、代々木公園、明治神宮の近く、2BR、4BD, リビング、台所、風呂",69158380,Toshiko,渋谷区,35.67213,139.68432,建物全体,38000,4,129,2024-06-24,1.61,2,155,30,M130002942
21269589,【Great Location!】Near Yoyogi Sta. /WiFi  Oasis101,43554294,Happy,渋谷区,35.682461,139.703995,建物全体,12208,2,110,2024-05-26,1.36,3,173,25,M130027115
