id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1268465,Private APT 8min from JR Ebisu station,1913570,Sugi,目黒区,35.63953,139.7097,建物全体,15282,3,18,2024-04-28,0.14,1,153,6,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第１００号
1394124,Solar power/Car space/near to park,5710367,David,目黒区,35.62039,139.69983,建物全体,37429,2,312,2024-06-09,2.35,1,175,46,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
3372902,アジアンミックステイストの癒される空間,17018818,Miri,目黒区,35.61728,139.6679,建物全体,6800,2,153,2024-06-24,1.27,1,7,11,M540000008
6308465,"60㎡,5beds,3mins to Shibuya Sta",32815136,Ayako,目黒区,35.64284,139.70001,建物全体,50000,1,185,2020-03-23,1.79,1,108,0,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第78号
10091405,The room of a quiet house with 3 cats,32489578,Kazuhiro,目黒区,35.63483,139.68904,共有部屋,13500,2,263,2024-06-16,2.55,1,157,29,M540000012
11711938,Roof Terrance/Car space/Luggage Deposit/Free wifi,62053989,Yukari,目黒区,35.65033,139.69,建物全体,44786,2,317,2024-05-30,3.16,1,99,44,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第108号
13496408,Contemporary Meguro Riverside Studio,63345781,Yu,目黒区,35.63195,139.71046,建物全体,,30,89,2023-07-25,0.92,15,24,1,M130027222
14303699,Cozy & Comfortable Meguro Riverside Studio,63345781,Yu,目黒区,35.6317,139.71147,建物全体,21357,30,85,2024-01-22,0.89,15,37,2,M130027231
15225337,Authentic Japanese Room,44886321,Aki,目黒区,35.624134,139.675797,一般住宅個室,5500,1,386,2024-06-20,4.10,5,59,22,M540000005
15625213,Cozy JAPANESE ROOM - 10 minutes to Shibuya,44886321,Aki,目黒区,35.62421,139.676575,一般住宅個室,6000,1,351,2024-06-06,3.77,5,52,22,M540000005
15881184,渋谷から電車で10分、新宿から20分 北欧風の快適なお部屋,44886321,Aki,目黒区,35.6231,139.67604,一般住宅個室,4000,1,326,2024-06-15,3.52,5,66,12,M540000005
17514925,Urban Zen Studio w/Balcony in Meguro,63345781,Yu,目黒区,35.63208,139.70984,建物全体,,30,72,2023-08-29,0.81,15,0,1,M130027229
17852734,Genuine  Japanese  room,44886321,Aki,目黒区,35.62319,139.67619,一般住宅個室,,1,6,2020-06-14,0.10,5,0,0,M540000005
18396319,Bright & Modern Meguro Riverside Studio,63345781,Yu,目黒区,35.63025,139.71106,建物全体,,30,61,2024-04-29,0.70,15,0,3,M130027234
20257694,Monthly Solo Lady ONLY Spacious Room near Shibuya,6648611,Yukiko,目黒区,35.62245,139.67544,一般住宅個室,5500,30,13,2020-02-19,0.18,2,88,0,M540000004
20258740,Solo Lady ONLY一人旅女性専用：渋谷に近い広いお部屋,6648611,Yukiko,目黒区,35.622686540485624,139.6759722593092,一般住宅個室,5500,5,42,2024-06-18,0.54,2,59,12,M540000004
24526523,#2 Double Bed room/1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64328,139.69885,一般住宅個室,13159,1,41,2024-06-23,0.56,7,71,7,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
24527406,#3 Double Bed room/1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64301,139.69763,一般住宅個室,13159,1,46,2024-05-23,0.62,7,104,6,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第112号
24563559,#4 Double Bed room/1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64446,139.69916,一般住宅個室,13159,1,36,2024-06-23,0.49,7,93,10,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
24564188,#5 Twin room/1 min from Train St!,178555181,Waves Nakameguro,目黒区,35.64456,139.69718,一般住宅個室,15181,1,42,2024-05-27,0.57,7,127,4,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
