id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
3514008,誠道館 303／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,建物全体,2900,1,324,2024-06-28,2.79,8,8,57,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
7901470,誠道館　205／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.72671,139.782,建物全体,2900,1,458,2024-06-26,4.24,8,7,76,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
7901621,誠道館　204／静かで出入り自由な完全個室(専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,建物全体,2900,1,317,2024-06-21,2.98,8,11,51,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
9684860,"Seidokan 203 / Quiet, entirely private room with freedom of access (own bathroom/toilet)",17694529,Hisao,荒川区,35.7267,139.782,建物全体,2900,1,364,2024-06-24,3.50,8,12,47,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
10167088,H02 MAX 6ppl/Easy access to NRT,51966672,Yoshi,荒川区,35.73088,139.76302,建物全体,,2,92,2024-03-25,0.91,4,2,2,M130011696
10552058,H03 Cozy and Residential Apartment.,51966672,Yoshi,荒川区,35.73643,139.77125,建物全体,18371,2,62,2024-04-01,0.61,4,4,1,M130012674
10596923,【3min from the sta. maisonette TY 2LDK】 garden etc,32819904,ふたばホテル,荒川区,35.73068,139.77115,一般住宅個室,38971,4,84,2024-05-18,0.82,2,96,1,Hotels and Inns Business Act | 東京都荒川区保健所 | 2荒保衛環き(三)第2号
11719571,4LDK Traditional 2Japanese and 2 nomal rooms.Wifi,54419507,Hiro,荒川区,35.7452358,139.7742405,建物全体,38800,1,167,2024-06-14,1.82,1,170,26,Hotels and Inns Business Act | 荒川区保健所 | 30荒保衛環き（三）第12号
17516978,誠道館３０２／静かで出入り自由な完全個室(専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,建物全体,2900,1,193,2024-06-01,2.18,8,8,48,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ（三）第１3号
17600334,Economy Shared Room for Three in a Friendly House,12014384,Toshio,荒川区,35.74325,139.77225,一般住宅個室,17000,2,10,2023-04-01,0.14,4,365,0,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第3号
20175306,誠道館　３０４/静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.7267,139.78203,建物全体,2900,1,194,2024-06-29,2.31,8,15,67,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
20956515,"6 mins to Ueno,Yanaka,Narita45min,Nippori Area",150646453,Xiaoli,荒川区,35.74022,139.77306,一般住宅個室,11800,2,56,2024-06-03,0.68,1,119,16,M130002129
21038665,都心まで電車ですぐ！千住大橋駅まで徒歩5分・最大2人・Free Wi-FI・上野/浅草・501,151503457,Yun,荒川区,35.73873,139.79921,一般住宅個室,,1,31,2024-02-25,0.47,1,0,7,M130019250
21080730,なごみ ホテル (NAGOMI HOTEL NIPPORI) - プレミアムツイン,151954517,なごみ,荒川区,35.73278,139.77993,ホテル個室,999999,1,0,,,6,41,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
21376755,"3BR/10 ppl max/10min,Ueno＆Akihabara! Near Asakusa!",154809124,Ken,荒川区,35.73379,139.77843,建物全体,30400,2,203,2024-06-23,2.51,1,105,42,Hotels and Inns Business Act | 荒川区保健所 | ３０荒保衛環き(三)第１７号
21520020,"6mins to Ueno, Narita45min,Shinjuku21min,110㎡8PPL",156391995,Toyoharu,荒川区,35.73576,139.77319,建物全体,37429,2,133,2024-06-12,1.67,1,262,46,Hotels and Inns Business Act | 荒川区保健所 | 30荒保衛環き（三）第18号
21702307,なごみ ホテル (NAGOMI HOTEL NIPPORI) - スイートルーム,151954517,なごみ,荒川区,35.73276,139.78004,ホテル個室,38857,1,0,,,6,19,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
23832563,Sato san's Rest ～dormitory room～,119542101,Nana & Yuta,荒川区,35.73325,139.78975,ホテル個室,3500,1,27,2024-04-29,0.36,4,30,5,Hotels and Inns Business Act | 荒川区保健所 | 27荒保衛環き(三)第1号
24413859,"Cozy 1F Ueno/Nippori walkable, Mobile WiFi&Bike",95824703,Iyoko,荒川区,35.72665,139.78057,一般住宅個室,9143,3,84,2024-06-26,1.22,1,28,37,Hotels and Inns Business Act | 荒川区保健所 | ３０荒保衛環き(三)第９号
24816649,Sato san's Rest ～private room～,119542101,Nana & Yuta,荒川区,35.73399,139.78919,ホテル個室,10000,1,91,2024-06-07,1.23,4,28,5,Hotels and Inns Business Act | 荒川区保健所 | 27荒保衛環き(三)第1号
25985465,Hotel Wagokoro Economy Double Room,85022417,Kiyoshi,荒川区,35.73274,139.77519,一般住宅個室,12795,1,39,2023-03-18,0.54,7,49,0,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26016806,Hotel Wagokoro Standard Japanese-Style Room,85022417,Kiyoshi,荒川区,35.73209,139.77674,一般住宅個室,16795,1,129,2024-06-28,1.78,7,54,56,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26017275,Hotel Wagokoro Standard Twin Room,85022417,Kiyoshi,荒川区,35.73281,139.77694,一般住宅個室,,1,11,2023-01-31,0.15,7,89,0,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043173,Hotel Wagokoro DeluxeTwin Room,85022417,Kiyoshi,荒川区,35.73107,139.77522,一般住宅個室,,1,9,2024-04-30,0.13,7,61,1,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043474,Hotel Wagokoro Standard  Double Room,85022417,Kiyoshi,荒川区,35.7315,139.77685,一般住宅個室,15159,1,3,2023-06-23,0.04,7,60,0,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043562,Hotel Wagokoro Superior Japanese-Style Room,85022417,Kiyoshi,荒川区,35.73299,139.77501,一般住宅個室,19854,1,4,2024-06-21,0.81,7,28,4,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043620,Hotel Wagokoro Superior Twin Room,85022417,Kiyoshi,荒川区,35.73103,139.77514,一般住宅個室,15979,1,15,2024-05-31,0.21,7,90,4,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26475294,Cenral Tokyo Narita Direct :Train& Shuttle Limocar,12014384,Toshio,荒川区,35.74244,139.77221,一般住宅個室,,2,2,2023-08-17,0.13,4,364,1,Hotels and Inns Business Act | 荒川区保健所 | ２８荒保衛環き(三)第３号
26475847,Family or Friends Tokyo Value Room for 5 person,12014384,Toshio,荒川区,35.74393,139.77045,一般住宅個室,,1,6,2023-03-30,0.09,4,179,0,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第3号
27342489,誠道館  ２０１／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,建物全体,2900,1,198,2024-06-28,2.78,8,5,54,Hotels and Inns Business Act | 東京都荒川区保健所長 | ３０荒保衛環き（三）第１５号
27865228,home,210445918,Ken,荒川区,35.73326,139.79292,建物全体,14500,2,87,2024-05-30,1.25,1,94,18,M130004626
28302559,Sato san's Rest ～dormitory room～,119542101,Nana & Yuta,荒川区,35.73449,139.79033,共有部屋,3500,1,12,2023-11-14,0.19,4,30,2,Hotels and Inns Business Act | 荒川区保健所 | 27荒保衛環き(三)第1号
28995376,Minamisenju sta 5mins MW Hotel Room301 Free WiFi,218499353,愛依,荒川区,35.73115,139.79506,建物全体,10429,2,29,2024-06-27,0.48,3,66,2,Hotels and Inns Business Act | 東京都荒川区保健所 | 30荒保衛環き（三）第１９号
29288515,なごみ ホテル (NAGOMI HOTEL NIPPORI) - エコノミー和室,151954517,なごみ,荒川区,35.73149,139.77984,ホテル個室,14143,1,0,,,6,23,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
