id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1298200,Pine House 2 Bed Room + 2 Toilets,7740848,K Family,葛飾区,35.73987,139.85176,建物全体,24543,3,396,2024-06-18,2.96,6,101,26,M130009943
1441639,"Sunny Spacious traditional room, Sunny balcony",7740848,K Family,葛飾区,35.7362,139.85178,建物全体,,4,327,2024-05-06,2.46,6,0,3,M130002147
1732795,"4 Bed-rooms, 2 toilets, shower, Traditional rooms",7740848,K Family,葛飾区,35.73784,139.85201,建物全体,48729,3,377,2024-06-13,2.90,6,281,41,Hotels and Inns Business Act | 葛飾区保健所 | 4葛保生環令第75号
5979941,"7min to Station, Japanese style room, Free WiFi",30840659,Guesthouse,葛飾区,35.76776,139.86466,一般住宅個室,10343,2,42,2024-02-16,0.38,4,58,9,Hotels and Inns Business Act | 東京都葛飾区保健所 | 26葛保生第3209号
7170836,Direct NaritAirport/Shinjuku/Akihabara/Tokyo Sta.,37525225,鹰,葛飾区,35.72358,139.85843,建物全体,25714,1,177,2024-06-19,2.19,3,288,42,Hotels and Inns Business Act | 東京都葛飾区保健所 | 30葛保生環第162号
8105976,"Easy to airport,Asakusa,Skytree,Ginza,Akihabara!",12369727,Kei,葛飾区,35.7333,139.85079,建物全体,14229,3,298,2024-06-08,2.79,1,102,38,Hotels and Inns Business Act | 東京都葛飾区保健所 | 31葛保生環第330号
8893054,Japanese traditional type room,33478325,Yukihiko,葛飾区,35.74412,139.86214,一般住宅個室,,2,20,2019-09-15,0.28,7,0,0,Hotels and Inns Business Act | 葛飾区保健所 | 26葛保生第3738号
9176301,Max6ppl 2BR 6 stops away from Asakusa and SkyTree,12353736,Takano,葛飾区,35.73541,139.85059,建物全体,15657,1,98,2024-05-22,0.98,2,266,6,Hotels and Inns Business Act | 東京都葛飾区保健所 | 30葛保生環第154号
11167120,HY1 / Y'sB&KitchenTokyo/Feels like a home,52144395,Yasuko And Hiro,葛飾区,35.75461,139.86843,建物全体,5040,1,269,2024-06-24,2.68,1,38,20,M130000457
11328437,35㎡AsakusaUeno15min/Airports50min/supermarket15sec,32989603,Anan,葛飾区,35.75829,139.86028,建物全体,6435,1,221,2024-06-12,2.19,2,73,27,Hotels and Inns Business Act | 葛飾区保健所 | 28葛保生環第408号
11589890,"3 Bedroom+2 toilets , Bamboo House",7740848,K Family,葛飾区,35.73855,139.85336,建物全体,52957,3,256,2024-05-27,2.53,6,102,21,M130009919
13384484,レトロ東京【Yumiko】【6名様まで】交通便利駅2分！ノストラジックな町へようこそ！,76087524,由美子,葛飾区,35.7468177,139.8286364,建物全体,16000,5,29,2024-06-20,3.03,2,48,29,M130035499
14749196,"""lobby"" Private Sauna Designers House/3bed+3futon",6378336,Haru,葛飾区,35.74109,139.84485,建物全体,35456,1,83,2021-05-30,0.92,4,364,0,M130006536
15992892,4 beds mix dormitory 1st,33478325,Yukihiko,葛飾区,35.74458,139.86354,共有部屋,,2,15,2023-12-26,0.21,7,0,2,Hotels and Inns Business Act | 葛飾区保健所 | 26葛保生第3738号
15994829,6 beds mix dormitory 1st,33478325,Yukihiko,葛飾区,35.74582,139.86126,共有部屋,,2,6,2019-11-12,0.09,7,0,0,Hotels and Inns Business Act | 葛飾区保健所 | 26葛保生第3738号
16466341,5 bedroom+6 toilets+3 showers+2 Balcony for Groups,7740848,K Family,葛飾区,35.73968,139.85387,建物全体,82000,4,175,2024-06-25,1.92,6,255,41,Hotels and Inns Business Act | 東京都保健所 | 27葛保生環第466号
16693911,SP sale 6 singleBEDs★Mobile Wi-Fi★Tokyo Ueno-14min,110560505,Momo,葛飾区,35.74656,139.83202,建物全体,9654,2,128,2024-06-10,1.42,2,73,24,M130004826
20182174,Comfortable private space with 2rooms!,17751737,宏之,葛飾区,35.73461,139.84801,一般住宅個室,6057,1,91,2024-06-16,1.09,1,136,13,M130000562
20527555,"Retro modern room Private Shower, Toilet & Kitchen",30840659,Guesthouse,葛飾区,35.76838,139.8661,建物全体,13571,3,22,2020-01-01,0.28,4,85,0,M130003004
21518692,NEW!!Kameari 3mins station. Free wi-fi/Bread/water,156376609,Mitsue And Ayako,葛飾区,35.76737,139.84751,建物全体,7200,2,129,2024-06-20,1.60,1,54,17,M130001902
22215771,ON SALE!!! Near ASAKUSA & Tokyo Skytree♪,162332140,Hahihu,葛飾区,35.73852,139.84863,建物全体,17000,1,55,2024-05-27,0.70,1,45,19,M130015997
22411109,Spacious 2-story house with 1.5 Bath/Wifi/Max6,161782066,Yu,葛飾区,35.7539,139.86165,建物全体,25500,1,47,2024-05-15,0.60,1,160,16,M130015031
23836067,Star Room(Hao Bros. Home)/京成高砂駅2分,178965087,Daikichi,葛飾区,35.7499,139.87051,一般住宅個室,5000,1,55,2024-06-26,0.78,3,219,23,Hotels and Inns Business Act | 葛飾区保健所 | 31葛保生環第192号
23939758,"Renewopen Traditionalhouse, 6person, 2 min station",91750373,Shin,葛飾区,35.73727,139.84939,建物全体,12000,4,52,2024-06-05,0.69,2,323,15,Hotels and Inns Business Act | 葛飾区保健所 | 3葛保生環令第219号
25693184,☆YAWP☆（1 bed/12bedroom）I used to be a Manga artist,193360373,Tak,葛飾区,35.75235,139.86814,共有部屋,2114,1,74,2024-05-01,1.05,6,17,18,Hotels and Inns Business Act | 東京都葛飾区 | 26葛保生第3438号
25694475,◆YAWP！◆ The coziest hostel for backpackers（12beds）,193360373,Tak,葛飾区,35.75264,139.87032,共有部屋,6343,1,18,2023-09-18,0.25,6,27,3,Hotels and Inns Business Act | 東京都葛飾区 | 26葛保生第3438号
25717495,★YAWP！★ The coziest hostel for backpackers（12beds）,193360373,Tak,葛飾区,35.75319,139.87037,共有部屋,4229,1,59,2024-04-14,0.80,6,37,12,Hotels and Inns Business Act | 東京都葛飾区 | 26葛保生第3438号
