市区町村,店舗名,住所
八王子市,八王子宇津木店,東京都 八王子市 宇津木町777-1
八王子市,八王子オクトーレ店,東京都 八王子市 旭町9-1 八王子オクトーレ　1F
八王子市,セレオ八王子北館店,東京都 八王子市 旭町1-1 セレオ八王子
八王子市,多摩野猿街道店,東京都 八王子市 堀之内2-12-1
八王子市,フレンテ南大沢店,東京都 八王子市 南大沢2-1-6 フレンテ南大沢
八王子市,中央大学店,東京都 八王子市 東中野742-1
八王子市,サザンスカイタワー八王子店,東京都 八王子市 子安町4-7-1 サザンスカイタワー八王子
八王子市,元八王子店,東京都 八王子市 元八王子町1-409-2
八王子市,イーアス高尾店,東京都 八王子市 東浅川町550-1 イーアス高尾
相模原市,皇居外苑,和田倉噴水公園店 東京都 千代田区 皇居外苑3-1
相模原市,竹橋パレスサイド店,東京都 千代田区 一ツ橋1-1-1 竹橋パレスサイドビルディング 1F
相模原市,ＫＤＤＩ大手町ビル店,東京都 千代田区 大手町1-8-1 ＫＤＤＩ大手町ビル 1F
相模原市,大手町東京サンケイビル店,東京都 千代田区 大手町1-7-2 東京サンケイビル　B1階
相模原市,大手町ビル店,東京都 千代田区 大手町1-6-1 大手町ビル
相模原市,大手町プレイス店,東京都 千代田区 大手町2-3-1 大手町プレイス
相模原市,丸の内三菱ビル店,東京都 千代田区 丸の内2-5-2 三菱ビル
相模原市,丸の内新東京ビル店,東京都 千代田区 丸の内3-3-1 丸の内新東京ビル
相模原市,ＪＲ東京駅日本橋口店,東京都 千代田区 丸の内1-9-1 丸の内中央ビル
相模原市,東京ステーションシティ,サピアタワー店 東京都 千代田区 丸の内1-7-12
相模原市,グランスタ丸の内店,東京都 千代田区 丸の内1-9-1 JR東日本東京駅構内地下1階改札外
日野市,日野万願寺店,東京都 日野市 万願寺4-24-6
日野市,イオンモール多摩平の森店,東京都 日野市 多摩平2-4-1
立川市,立川若葉店,東京都 立川市 若葉町1-11-7
立川市,立川伊勢丹店,東京都 立川市 曙町2-5-1 伊勢丹立川店 1F
立川市,ルミネ立川店,東京都 立川市 曙町2-1-1 ルミネ立川店　1階
立川市,ららぽーと立川立飛店,東京都 立川市 泉町935-1
立川市,ららぽーと立川立飛2階,パークサイド店 東京都 立川市 泉町935-1 ららぽーと立川立飛2階
立川市,エキュート立川店,東京都 立川市 柴崎町3-1-1 エキュート立川　３階
立川市,グランデュオ立川店,東京都 立川市 柴崎町3-2-1
昭島市,昭島モリタウン店,東京都 昭島市 代官山2-3-1 モリタウン
昭島市,昭島駅前店,東京都 昭島市 代官山2-3-1 モリタウン１階
多摩市,ヴィータモールせいせき店,東京都 多摩市 関戸4-72 ヴィータモールせいせき1階
多摩市,京王聖蹟桜ヶ丘SC店,東京都 多摩市 関戸1-10-1 京王聖蹟桜ヶ丘ショッピングセンター B館
多摩市,小田急多摩センター駅店,東京都 多摩市 落合1-11-2 小田急マルシェ多摩センター
多摩市,ココリア多摩センター店,東京都 多摩市 落合1-46-1 ココリア多摩センター店
